Z,2022-07-06,2022-08-02,2022-08-17,2022-09-06,2022-10-06,2022-11-04,2022-12-01,2023-01-19,2023-02-08,2023-03-08,2023-04-16,2023-05-17,2023-06-07,2023-07-03,2023-08-02,2023-09-06,2023-10-04,2023-11-14,2023-12-13,2024-02-09,2024-03-19,2024-04-16,2024-05-14,2024-06-04,2024-08-07,2024-09-04,2024-10-09,2024-11-13
-4.7,97.9151551155122,71.55933459489833,120.45119526560698,36.46336943657459,135.52329410672996,131.26944381461547,222.8758223833524,272.6993800430478,209.74510403225023,203.47406217167625,197.61065323141872,207.57823392013742,220.5139506028402,179.25370426958295,151.837401284859,218.4353412151047,256.68915819374035,206.52097590572964,199.56538623576856,270.6297436953111,237.91545586485037,238.11850869895807,235.10114263400203,242.87812491272732,206.0462161499215,207.4219953930412,243.25342601866743,244.4244947535889
-4.6,97.94971964095804,71.50745176113749,120.44558573036896,36.44646056165452,135.51629161431515,131.24130203602434,222.89241670928587,272.74403012048333,209.75981280631567,203.4805744525437,197.63532356973315,207.59185477624305,220.5306623324371,179.2869383751121,151.8383573265682,218.42255676941028,256.6715974949149,206.53744625333408,199.59056413032164,270.6567951581573,237.9390158352627,238.1463208590724,235.11964695935967,242.8979491988881,206.05973823387558,207.43681551324647,243.2733845977245,244.4476568854931
-4.5,97.94183595697153,71.45844552069843,120.43677945682633,36.422392737661404,135.5173976557147,131.21555840628028,222.91755759358048,272.8135889627218,209.78949995349964,203.49181256298067,197.67225060614967,207.6249810598437,220.55550516798263,179.3480949628913,151.84099050927327,218.4383298625199,256.65381733160183,206.54647335249982,199.6140610288,270.6986090966248,237.98678265476352,238.1975284319557,235.1509324383994,242.93105700094165,206.08010828815367,207.45872662708456,243.30516116998604,244.48157045220205
-4.4,97.80884040342886,71.48902728477306,120.38899179684728,36.26060439777879,135.53873668691617,131.0985940459649,223.08678304177255,273.2405356983441,209.94286093274567,203.57871397924742,197.89262243303676,207.80001677890473,220.7168395040255,179.74352647847726,151.89673606217573,218.55329839316283,256.622707972488,206.5364064056285,199.7089176510344,270.9743596916922,238.25806533529484,238.4830675877294,235.35502479705036,243.1488989233153,206.21253256904112,207.60068571185877,243.51909738606687,244.69769420661984
-4.3,97.70713350242227,71.57537051392958,120.3741237154257,36.20505239598582,135.54382878040295,131.0695158212963,223.14658939254326,273.3870600874139,209.9845071330792,203.6111491786349,197.96528329942515,207.8524919492881,220.7743369673529,179.88100907226075,151.92735929176212,218.60072440908985,256.6172884538963,206.52891297707913,199.73468170319907,271.07121558383636,238.34266975462685,238.57254071027285,235.42704198613552,243.22528082207245,206.25944160816047,207.65108097523358,243.59543986498844,244.77294414727598
-4.2,97.154821689135,72.07322134920676,120.29955484988305,35.94598038678556,135.52064804171167,130.92943385324716,223.3929120469509,274.0329130043569,210.15309362859574,203.7358030120368,198.25628002083192,208.06073165701315,221.01709282530706,180.3867434054856,152.0614544466803,218.8035215920874,256.658402662115,206.5677821934597,199.8744697054242,271.4633900005541,238.674680954452,238.91973721428354,235.72378761037592,243.5389220927461,206.46511912846984,207.86889492146668,243.92238407904662,245.095142303639
-4.1,96.55228020137926,72.65258593351314,120.20468136604013,35.62209382290486,135.50535552253382,130.76465082451205,223.70378135137827,274.8611064527244,210.40793187068599,203.89695775735052,198.61984305795337,208.35060656320357,221.32902095049172,180.99783727594775,152.2000903561203,219.1181483629579,256.82235446707745,206.67875783022393,200.04755592736524,271.9637582522052,239.10753923944515,239.35355392156862,236.1055820549002,243.9477422322916,206.72497083150313,208.14687607567524,244.34248672764204,245.5060397921082
-4.0,96.30127611811139,72.8549561834575,120.16061407867137,35.50608273278894,135.4883443638264,130.67591217465835,223.83148636843518,275.22827506528125,210.5136408739533,203.95976956398954,198.78578618048283,208.47202511480185,221.46225916891308,181.26609947591098,152.26387142140314,219.27379265022878,256.9662677865897,206.73896896101127,200.13661439821442,272.1684245587975,239.30300744846306,239.54988232159943,236.2634926665916,244.11806689667378,206.83969145125343,208.2684365934641,244.5236385680249,245.6861409306607
-3.9,95.19813089652591,73.68908536419583,119.95629903658289,34.96031125755475,135.3935325892139,130.28800410383874,224.40993821957125,276.92426028434676,211.0237830334665,204.24489629721378,199.56085276227194,209.04511462498533,222.0687400979009,182.44702779401217,152.56306306377374,220.07290754562555,257.6043188167483,207.07755740779947,200.5581667262594,273.0844073017123,240.20322386549043,240.4546616772132,236.9870280928842,244.89763906053415,207.372790254326,208.83024321853443,245.34948816795384,246.5063540270265
-3.8,94.88304758304996,73.88466592287618,119.8980460394085,34.80686489760865,135.36106590407041,130.18678222244495,224.5734772232976,277.41101986055776,211.17199171475983,204.32607076938473,199.78134511143455,209.20849775954144,222.24140618271554,182.76967780699167,152.6534000666458,220.31424879764307,257.79887001239064,207.18639434462693,200.67557919817912,273.3409236392416,240.45999419786068,240.71207020956155,237.19326169456627,245.12069579323511,207.5264946821764,208.9924071596675,245.58665767948497,246.74026815221546
-3.7,93.83803498093127,74.4085891643097,119.66414800549575,34.286569615459925,135.17325802778558,129.81801724170515,225.08587507255075,279.1615090026981,211.609391907888,204.53501218472704,200.55706134372883,209.71655489188288,222.8055439153756,184.0478030876318,153.05581543090233,221.14613480328424,258.5746849698428,207.5738277608325,201.07773991103872,274.1462992061029,241.30093696193646,241.5366834321036,237.86986662250038,245.8607411885214,208.0620184692267,209.5673069694135,246.41489868315614,247.55616181747163
-3.6,92.62219554201687,74.98654583583513,119.38844374433032,33.75975708442269,134.93974090111047,129.38006330090667,225.59409875977016,281.0848682615937,212.03850476756708,204.697948608841,201.42018661121048,210.2069574311383,223.3772174278649,185.56038733384548,153.5790745979877,222.05316510281858,259.37667841971114,208.00812995615775,201.4935140306868,274.9537445850117,242.17154502755,242.38213002261662,238.56065818487994,246.61967964247822,208.63379719265416,210.1850064742585,247.28856792475497,248.4301508426954
-3.5,92.19376981850287,75.16630429884313,119.2793016725533,33.58785933111223,134.82415046832213,129.2027097442562,225.6497622983779,281.6291291336397,212.07337386269703,204.62204483261294,201.6416709741332,210.26727776670523,223.44632047561342,186.03925042462583,153.78328386830572,222.2750227494878,259.49294581666527,208.0753711694421,201.53844417265168,275.0797049538884,242.38548956285388,242.57331082942997,238.68486944224395,246.76360609508495,208.74494474764964,210.32802519442131,247.49067530112777,248.64658767522096
-3.4,90.65013738255954,76.03917278144627,118.87792156935923,33.014808149589776,134.37901854739192,128.4737333546106,225.32767299486497,282.8531522678924,211.6405643744856,203.7566481974931,201.97008758585616,209.90349786389868,223.06375184396035,187.41555279699185,154.47382567846893,222.33005206811296,258.66759846316756,207.80793200969268,201.32616415463454,274.92870003866267,242.73888002110607,242.80040470359936,238.59877322999208,246.71015210526735,208.69678567407206,210.439689027834,247.64313005990752,248.97080699347305
-3.3,90.32423084878684,76.31932723322461,118.79378109329049,32.91169610317807,134.27723425635685,128.2925046663758,225.07760630849992,282.8385343442913,211.3508207031351,203.36936301363806,201.86900286206486,209.61989841127047,222.75969075380982,187.59947090654202,154.5898197086411,222.07031442547208,258.0659170363514,207.57415814208647,201.146517808207,274.68756857403474,242.65819620132584,242.67975606633382,238.3915941640572,246.49644584339603,208.52489879513956,210.31773262360252,247.46790465876958,248.87513208979877
-3.2,90.12153249368207,79.46278052760681,119.83322060731838,34.8034054387951,135.27830890363293,128.94930848465464,216.90572885530196,266.8828792811021,202.63579944713246,194.92065175245432,192.28564435499644,200.62019858593987,212.28138522544444,179.24185570415617,150.24517343574823,207.52920553481061,237.22513954179638,198.9623915193774,194.44412293273757,265.2108035024214,234.71778254874476,234.46316694313936,229.42192770366358,236.73423725180353,200.1791397618127,202.58058766827682,236.79196037317448,240.05095914469848
-3.1,92.02092992538782,90.08854659283111,124.63748307794553,43.660368125811,141.27369355744403,134.22153256729112,196.6922282100054,222.95429340431141,180.76233632547533,174.53716285648287,165.5788015466254,177.724290556349,185.45260773105645,154.31142963294573,135.64718418539618,167.45428396289435,183.75319856466692,176.5026826940444,177.1062648823735,242.1342086101434,213.23521304201284,212.67317619446584,206.439641239053,211.61099140255956,177.8293437432338,181.44168537679303,208.16910727503628,216.1288905601064
-3.0,90.99369641510827,104.43556584099287,130.9322375861686,56.861659478252285,148.69099035631714,141.8862062933438,171.403344845827,174.0352827938387,155.463284365166,150.76261629280083,135.3840782479841,151.23001659125458,154.32802185781384,124.9474076751294,114.37993994864962,125.17394636903738,131.71163336812305,150.47892924798984,156.17225862908035,212.55615358386552,186.27689362220164,185.97913405766394,178.1658613845229,180.83226934043236,151.44269869470992,155.89365744786508,174.61473776344178,186.4837286995623
