Z,2022-07-06,2022-08-02,2022-08-17,2022-09-06,2022-10-06,2022-11-04,2022-12-01,2023-01-19,2023-02-08,2023-03-08,2023-04-16,2023-05-17,2023-06-07,2023-07-03,2023-08-02,2023-09-06,2023-10-04,2023-11-14,2023-12-13,2024-02-09,2024-03-19,2024-04-16,2024-05-14,2024-06-04,2024-08-07,2024-09-04,2024-10-09,2024-11-13
-4.7,470.964908718628,596.8309866159988,370.64779185342513,636.4770964424042,408.69377020820406,511.80658169615884,408.42925369991525,429.8107578048057,438.0079245897544,445.9878451780906,443.9312675720173,433.44892644823153,422.89336621131906,581.5533910429118,469.24977447230174,610.7857518294136,597.775229449762,442.8032387390503,464.2260504062959,448.8025797944227,455.87197868788365,439.2387964132527,426.26289004711543,436.6312937519531,599.9997918175749,618.7920527648683,595.5789135500905,579.7067460248996
-4.6,469.95730072400585,595.5607694327508,369.81920278814096,635.1401895540611,407.8097192474769,510.69845163038775,407.5683079955664,428.84670098032086,437.02882867345176,444.99478410735895,442.9393173952145,432.54738206807934,422.0004386413226,580.1768088825069,468.268947310428,609.9273097850318,596.5178617062528,441.83261107512783,463.1898082654301,447.80149248819225,454.855456227697,438.2465395131096,425.3673047858402,435.72675750746174,598.7513359701423,617.1612966035582,594.3263063813029,578.4206299063011
-4.5,470.76681899460425,596.6031405852212,370.4008712816228,636.2808170241599,408.49456273312273,511.56468709890135,408.2913076822051,429.5122450784157,437.717064477417,445.70006141330856,443.63809080817873,433.32251842177163,422.73841001087675,580.7648897192086,469.1241108409253,611.4478642701638,597.6025253180189,442.55410757427194,463.92469340970905,448.510810229561,455.57142670792445,438.9243113793017,426.1250390406292,436.4784459952273,599.6459841525091,617.7604745595112,595.3303667787512,579.3285006157128
-4.4,474.01062921434954,600.7926858697365,372.62806709126943,640.9445642773393,411.22830559362336,515.0090518563187,411.21609254884214,432.0524122089967,440.33492772886314,448.3917979773744,446.2996032404462,436.4303348743513,425.7219031056168,582.9438994829834,472.5747324010922,615.9975376715288,602.19290790692,445.36625967988573,466.7955067907637,451.2224392828811,458.31771745143436,441.53256172942565,429.18344232082046,439.4931126427166,602.8618818987856,619.3200309802818,599.231178378383,582.9213715872631
-4.3,474.7976860682015,601.8149132945194,373.1416612416015,642.1045046484799,411.8896618989981,515.8371756516142,411.9406395369275,432.6358957154709,440.93119591008525,449.0076499887903,446.9069385317835,437.1898131899732,426.4557784086307,583.4598894299751,473.4118840774625,617.000680012636,603.3630678199186,446.03008889938206,467.47326768922045,451.8438047870262,458.9532800935799,442.1366346602925,429.9340741144883,440.2358187998888,603.578036261093,619.4759926966692,600.1408886819416,583.7700961481922
-4.2,475.61887792628477,602.9958037522016,373.3219024932137,643.6256318615856,412.5013956297219,516.5627820648025,412.85967991264255,432.750248893601,441.0579606384143,449.17984073208794,447.05144181600446,438.0958460980976,427.2721534656466,583.9736092982381,474.331654261116,619.902680036593,605.8031479099079,446.4724211216725,467.8457929739012,452.0116039371802,459.15265477928796,442.3263496472976,430.8613341774456,441.0553641616626,603.5157531844711,617.0841903680207,600.830840803833,584.2195347786079
-4.1,478.78065419737425,607.1969024862015,375.1970722622057,648.422086466653,415.08147818816013,519.7641472004406,415.71176135410434,434.7726429505494,443.15433333041125,451.37011955406246,449.19910674142284,441.0765402656513,430.1326688299759,587.9079072246636,477.60167035771383,626.8195791865563,611.4574293236826,448.9452076119316,470.3495559508234,454.2042618094895,461.38760459100126,444.4948847361979,433.8074207210179,443.9634830931885,605.8050111941517,617.3805288736255,604.3422410601094,587.5021432442041
-4.0,481.0540342875005,610.1755725972321,376.7295496654495,651.739136920689,416.9561230122485,522.1162345603703,417.64562026639294,436.4541417164111,444.8752031532501,453.14969215819434,450.95426770805403,443.1360218783934,432.12871057355324,590.4997434020271,479.9267194133007,630.4615027698742,615.0560222171528,450.84608283736605,472.2903841616911,455.98603810878075,463.2061538185103,446.2464563903583,435.83080378083156,446.0127443390359,607.7471308539045,619.0540809531092,607.0143368621148,590.1358530384111
-3.9,489.20293784845177,620.9845585979659,381.9650531684744,664.0006303579318,423.5015304168916,530.3964925940737,424.4322640768502,441.99291014200594,450.57494393536336,459.08605303630594,456.79026018996785,450.388714567042,439.16654899137984,599.6084511843133,488.28849379371434,643.235763530731,628.4597605591528,457.37141432139055,478.876650642122,461.9186043827173,469.2447375577179,452.0913199691733,442.99305219738113,453.18103942038624,613.2943951600155,624.2010235987002,616.2743018227991,599.5494050184179
-3.8,491.18878273268405,623.6497117560327,383.19363796376007,667.0727410211639,425.0609915293846,532.3805692922888,426.06817658916333,443.24331416217353,451.87642816486533,460.4517934169645,458.1279412364217,452.13103633461986,440.8563472898778,601.568964046509,490.32840086788394,646.39315839116,631.7782319106956,458.9072608657369,480.3991561005239,463.2803004958643,470.61840925488167,453.42276192481984,444.7312745937599,454.87620843498087,614.2851402213727,625.3719140782001,618.458565661986,601.833981358896
