a,b,m,n,vp,i,K,resist,zpos,spacing,app,eca,appdiffa,ecadiffa,appdiff,ecadiff,irecip,name,time
7,13,9,11,53.37,32.813,3.6525091059037025,1.626489501112364,-1.7000000000000002,2,5.941107390263639,168.31878878991694,-0.8548093272995985,21.171605921177672,-12.5782784402058,14.388047061739218,38,CD3,2023-01-19
9,12,10,11,70.789,16.061,1.8761361487197266,4.407508872423884,-1.625,1,8.098155525129515,123.48490923604568,-3.9712665239775795,40.63090049136177,-32.90353513051089,49.03914862655181,39,CD3,2023-01-19
4,16,8,12,48.769,50.396,5.199877495596897,0.9677156917215651,-1.7,4,5.0465736297976,198.1542474869442,0.7888458816266892,-36.712812866924764,18.527391328991662,-15.631316205691162,42,CD3,2023-01-19
6,15,9,12,51.567,38.495,4.763257097143395,1.3395765683855048,-1.625,3,6.404146683015339,156.14882817286727,0.9485987242774145,-27.15081607246313,17.387780869162434,-14.812257920219507,44,CD3,2023-01-19
8,14,10,12,55.729,24.189,3.558118421144393,2.3038984662449873,-1.55,2,8.166574825142785,122.45035665641083,-0.24619901602024719,3.5834978913410254,-2.9264903665377884,3.0147157320136664,45,CD3,2023-01-19
10,13,11,12,108.568,15.501,1.8685752249224108,7.003935229985163,-1.475,1,12.807531434967213,78.07905880049553,3.3311472605735553,-27.446422395393668,35.15209176063925,-26.009284283143224,46,CD3,2023-01-19
7,16,10,13,52.899,29.747,3.899908121697674,1.7782969711231384,-1.475,3,6.947895154409991,143.92848161579937,0.8432080770938084,-19.880078484816323,13.812470097394572,-12.13616582222897,51,CD3,2023-01-19
9,15,11,13,57.868,19.75,3.3263922214480157,2.9300253164556964,-1.4000000000000001,2,9.726115965454232,102.81596513468033,-0.03550300544373286,0.3739416361939192,-0.36369997179337726,0.36502757698791866,52,CD3,2023-01-19
11,14,12,13,94.938,12.879,1.8490027606959014,7.371535057069648,-1.325,1,13.453965209910464,74.32752979496183,0.1364882122637745,-0.7617682888049586,1.0248804055595,-1.0144831663696718,53,CD3,2023-01-19
10,16,12,14,59.121,18.492,2.59993874779845,3.197112264763141,-1.25,2,8.3669824390646,119.51740155818906,-0.5040688026747091,6.791189889510406,-5.682176654588667,6.0244993502228725,58,CD3,2023-01-19
12,15,13,14,84.638,10.658,1.779059210572197,7.941264777631827,-1.175,1,14.075736303914562,71.04424084173081,6.2710631355456155,-57.08412256659679,80.3501056387755,-44.55229197354023,59,CD3,2023-01-19
13,16,14,15,89.936,10.861,1.2999693738992246,8.280637142067949,-1.0250000000000001,1,10.692558979196477,93.52298191158988,4.643496445770124,-71.79189034739682,76.76390217675467,-43.427363410429116,64,CD3,2023-01-19
1,4,2,3,74.464,52.682,1.8843772118804263,1.4134619034964504,-2.825,1,2.7041559123458336,369.80116251230055,-10.131697374095797,291.8943823642064,-78.93279198507041,374.6713467163449,1,CD3,2023-02-08
2,5,3,4,44.43,34.637,1.88422622179055,1.2827323382510032,-2.675,1,2.445342939530881,408.9405963614419,-9.99802809757905,328.5765216249662,-80.3482277251227,408.8599572662429,3,CD3,2023-02-08
1,7,3,5,29.618,42.489,3.7564016479116678,0.6970745369389725,-2.6,2,2.656346696237493,376.456883966397,-2.7197900285135304,190.44970981918232,-50.59004574775743,102.38836791770815,5,CD3,2023-02-08
3,6,4,5,71.008,51.234,1.8840176612835497,1.3859546394972087,-2.5249999999999995,1,2.6183878470722557,381.914390993736,-7.096713529862569,278.9818572814109,-73.04827046592926,271.033702581447,6,CD3,2023-02-08
2,8,4,6,21.705,28.888,3.7522722974394527,0.7513500415397396,-2.4499999999999997,2,2.893371892706384,345.6175137806521,-2.4884931772247536,159.80832179866223,-46.23849065128262,86.00668249725352,8,CD3,2023-02-08
4,7,5,6,89.589,45.514,1.883721200271019,1.9683833545722194,-2.375,1,3.7910828308300277,263.77687975260034,-6.575389334908197,167.31204735715374,-63.429383012672616,173.443568192061,9,CD3,2023-02-08
1,10,4,7,20.891,37.007,5.5470082820877025,0.5645148215202529,-2.3749999999999996,3,3.1416028782220646,318.3088502153183,-0.4439639103577191,39.41291577475732,-12.38197296371015,14.131764184306212,12,CD3,2023-02-08
3,9,5,7,35.035,40.972,3.74626054952539,0.8550961632334276,-2.3000000000000003,2,3.2324755745198956,309.36041957518125,-2.4318154724632395,132.8158190761283,-42.93238910734383,75.23074548906453,13,CD3,2023-02-08
5,8,6,7,76.852,40.467,1.883285077845799,1.8991276842859615,-2.2249999999999996,1,3.8462587429443733,259.9929091703497,-6.471341419590946,163.071145945686,-62.72138208155528,168.25028819140306,14,CD3,2023-02-08
2,11,5,8,11.986,18.104,5.506705589363202,0.6620636323464428,-2.225,3,3.646421215033845,274.2414935161895,-0.47463467546418503,31.585235855206918,-11.517307410427414,13.016452227387004,17,CD3,2023-02-08
4,10,6,8,32.409,34.842,3.737150449844826,0.9301704838987429,-2.15,2,3.514625917096236,284.52530186375975,-2.848797192718439,127.3771784806639,-44.76831327347343,81.05548812068452,18,CD3,2023-02-08
6,9,7,8,94.93,36.088,1.882616083862525,2.630514298381734,-2.0749999999999997,1,5.479669332328813,182.49276358707004,-5.191339854678688,88.78091473798919,-48.64900557858585,94.73819568000123,19,CD3,2023-02-08
1,13,5,9,16.163,31.248,6.940741393216954,0.5172491039426523,-2.1500000000000004,4,3.5989634995860853,277.8577776948862,-0.03228071659799614,2.470075721247781,-0.8889712361984443,0.8969448176317729,21,CD3,2023-02-08
3,12,6,9,17.546,24.032,5.443253015796695,0.7301098535286284,-2.0749999999999997,3,3.986880018996026,250.82269725584055,-0.5321802064306023,29.53775080315333,-11.776346848317583,13.348287480309365,23,CD3,2023-02-08
5,11,7,9,29.71,26.063,3.72263957071142,1.139930169205387,-2.0,2,4.305319108200858,232.27082008745415,-3.6595128492382862,106.71889314868163,-45.94588898790646,84.99980506131529,24,CD3,2023-02-08
7,10,8,9,87.823,32.438,1.8815348960355187,2.707411061101177,-1.925,1,5.084037489404864,196.69406492064633,-6.282172872963235,108.71399345277544,-55.27060183368252,123.56661189173539,25,CD3,2023-02-08
2,14,6,10,14.224,24.871,6.652784442896036,0.5719110610751478,-1.9999999999999998,4,3.8178818510335417,261.9253394992538,-0.021478157140202736,1.4652633743095862,-0.559420244376072,0.562567360076594,28,CD3,2023-02-08
4,13,7,10,17.677,21.75,5.33717763171659,0.812735632183908,-1.9249999999999998,3,4.368658801163479,228.903204739559,-0.10133372320184364,5.189184067458115,-2.2669774647158194,2.319561398909341,30,CD3,2023-02-08
6,12,8,10,26.934,17.726,3.6980055213917984,1.5194629358005192,-1.85,2,5.6655190259552635,176.50633515106588,-4.044995755425124,73.52518301714719,-41.65583232704901,71.3967376491706,31,CD3,2023-02-08
8,11,9,10,91.077,22.524,1.8796664873194247,4.043553542887587,-1.7750000000000001,1,7.458402871710019,134.07696221305432,-4.262085114523192,48.75628263259728,-36.36439984008688,57.14474248487473,32,CD3,2023-02-08
3,15,7,11,17.244,25.325,6.148619559249876,0.6809081934846989,-1.8499999999999999,4,4.194337862860284,238.41665423635203,0.09156174943756312,-5.3207499881634135,2.231702313416712,-2.182984595693107,35,CD3,2023-02-08
5,14,8,11,18.106,19.432,5.1456240914694025,0.9317620419925897,-1.775,3,4.807548118537375,208.0062383866966,-0.23575015910193198,9.723300327342884,-4.674523419469116,4.903750379385808,37,CD3,2023-02-08
7,13,9,11,27.91,16.276,3.6525091059037025,1.714794789874662,-1.7000000000000002,2,6.279239000164446,159.25496703881015,-0.5166777173987915,12.107784170070886,-7.602767056628276,8.228349285403226,38,CD3,2023-02-08
9,12,10,11,73.876,16.23,1.8761361487197266,4.551817621688232,-1.625,1,8.27186613514982,120.89170492625338,-3.797555913957275,38.03769618156947,-31.464273090344218,45.90930089910713,39,CD3,2023-02-08
4,16,8,12,19.381,19.534,5.199877495596897,0.9921675028156036,-1.7,4,5.161839958684073,193.7293693729578,0.904112210513162,-41.137690980911174,21.23461771132647,-17.515308838510574,42,CD3,2023-02-08
6,15,9,12,25.755,18.744,4.763257097143395,1.3740396927016645,-1.625,3,6.565587809604734,152.30928730206148,1.1100398508668095,-30.99035694326892,20.346990976202576,-16.90693785624104,44,CD3,2023-02-08
8,14,10,12,39.264,16.666,3.558118421144393,2.3559342373694947,-1.55,2,8.374389384028897,119.41169130577286,-0.03838445713413563,0.5448325407030552,-0.45626398449371763,0.4583552946241056,45,CD3,2023-02-08
10,13,11,12,104.829,14.772,1.8685752249224108,7.09646628757108,-1.475,1,12.930862210175068,77.3343636136744,3.4544780357814098,-28.1911175822148,36.453545700646345,-26.714986051457117,46,CD3,2023-02-08
7,16,10,13,34.078,18.468,3.899908121697674,1.8452458306259478,-1.475,3,7.207346151611116,138.74732515469123,1.102659074294933,-25.06123494592447,18.06249952421308,-15.299099711596984,51,CD3,2023-02-08
9,15,11,13,51.723,17.034,3.3263922214480157,3.036456498767172,-1.4000000000000001,2,10.099111997358085,99.01860681034123,0.3374930264601197,-3.4234166881451813,3.4573468547202877,-3.3418089288286685,52,CD3,2023-02-08
11,14,12,13,99.844,12.838,1.8490027606959014,7.777223866645895,-1.325,1,14.217897174483639,70.33388888158967,0.9004201768369491,-4.75540920217712,6.761191905914768,-6.33300526643912,53,CD3,2023-02-08
10,16,12,14,55.424,16.531,2.59993874779845,3.3527312322303553,-1.25,2,8.760652835829625,114.14674439673776,-0.11039840590968453,1.4205327280591007,-1.2444794072459802,1.2601618621180013,58,CD3,2023-02-08
12,15,13,14,87.623,10.574,1.779059210572197,8.286646491393986,-1.175,1,14.590430933583525,68.538071599945,6.785757765214578,-59.5902918083826,86.94480369422945,-46.508275157215955,59,CD3,2023-02-08
13,16,14,15,89.576,10.36,1.2999693738992246,8.646332046332047,-1.0250000000000001,1,11.07083162297087,90.32745091390423,5.021769089544517,-74.98742134508247,83.01731155521796,-45.36036009367939,64,CD3,2023-02-08
1,4,2,3,75.945,54.484,1.8843772118804263,1.3938954555465823,-2.825,1,2.6986722159297183,370.55259771720387,-10.137181070511913,292.6458175691097,-78.97551369817933,375.63587792078545,1,CD3,2023-03-08
2,5,3,4,40.061,30.75,1.88422622179055,1.3027967479674796,-2.675,1,2.485797562149958,402.2853732043664,-9.957573474959974,321.92129846789067,-80.02311789356315,400.5786161584172,3,CD3,2023-03-08
1,7,3,5,31.843,44.952,3.7564016479116678,0.7083778252358071,-2.6,2,2.7365018510628816,365.43004698191277,-2.639634873688142,179.42287283469807,-49.09910236351712,96.4601895906953,5,CD3,2023-03-08
3,6,4,5,75.338,53.416,1.8840176612835497,1.4104013778643103,-2.5249999999999995,1,2.6807607392181643,373.02844128180084,-7.034340637716661,270.09590756947574,-72.40625048357488,262.40091235326753,6,CD3,2023-03-08
2,8,4,6,20.648,26.84,3.7522722974394527,0.7692995529061103,-2.4499999999999997,2,2.9715402637030546,336.52581195511937,-2.410324806228083,150.71661997312953,-44.78605046593864,81.11365124914714,8,CD3,2023-03-08
4,7,5,6,94.01,47.753,1.883721200271019,1.968672125311499,-2.375,1,3.8191048966634584,261.8414594670193,-6.547367269074766,165.37662707157273,-63.15906862427302,171.43722014011294,9,CD3,2023-03-08
1,10,4,7,22.083,38.461,5.5470082820877025,0.5741660383245365,-2.3749999999999996,3,3.197527368081287,312.741654686778,-0.38803942049849693,33.84572024621707,-10.822261677970205,12.13560904503983,12,CD3,2023-03-08
3,9,5,7,36.901,42.043,3.74626054952539,0.8776966439121853,-2.3000000000000003,2,3.3492661308629197,298.57286967588794,-2.3150249161202154,122.02826917683498,-40.8705148961797,69.12036325771945,13,CD3,2023-03-08
5,8,6,7,80.39,41.565,1.883285077845799,1.9340791531336463,-2.2249999999999996,1,3.9825718654245557,251.09402511519943,-6.335028297110764,154.1722618905357,-61.4002112634114,159.0687754340229,14,CD3,2023-03-08
2,11,5,8,10.968,16.326,5.506705589363202,0.6718118338846012,-2.225,3,3.7057467147203353,269.85114660635077,-0.4153091757776948,27.194888945368177,-10.077737036648262,11.207165727974928,17,CD3,2023-03-08
4,10,6,8,34.402,36.026,3.737150449844826,0.9549214456226058,-2.15,2,3.61158077757551,276.8870645809866,-2.7518423322391645,119.73894119789074,-43.24468583575465,76.19495455633984,18,CD3,2023-03-08
6,9,7,8,105.388,37.468,1.882616083862525,2.812746877335326,-2.0749999999999997,1,5.893637588830555,169.67449812237692,-4.777371598176946,75.96264927329607,-44.76963251042497,81.0598128264771,19,CD3,2023-03-08
1,13,5,9,16.542,31.467,6.940741393216954,0.5256935837544094,-2.1500000000000004,4,3.6634030112078437,272.9702402221629,0.03215879502376229,-2.417461751475514,0.8856136659835175,-0.8778394002891701,21,CD3,2023-03-08
3,12,6,9,18.01,24.379,5.443253015796695,0.7387505640100086,-2.0749999999999997,3,4.034408427953069,247.8678145403757,-0.4846517974735587,26.582868087688468,-10.724614705213504,12.012958185283576,23,CD3,2023-03-08
5,11,7,9,31.767,27.502,3.72263957071142,1.155079630572322,-2.0,2,4.407514697430925,226.88523320929255,-3.557317260008219,101.33330627052003,-44.66280367265863,80.71027561364063,24,CD3,2023-03-08
7,10,8,9,97.361,34.644,1.8815348960355187,2.8103279067082325,-1.925,1,5.311520288471907,188.2700141747353,-6.054690073896192,100.28994270686442,-53.26920654171955,113.99165860360654,25,CD3,2023-03-08
2,14,6,10,12.332,21.193,6.652784442896036,0.581890246779597,-1.9999999999999998,4,3.886808563072361,257.28048700436676,0.047448554898616546,-3.179589120577475,1.2358454220912263,-1.2207587311969483,28,CD3,2023-03-08
4,13,7,10,18.147,21.865,5.33717763171659,0.8299565515664303,-1.9249999999999998,3,4.4659085095925795,223.91860421055267,-0.004084014772742783,0.2045835384518,-0.09136513652945444,0.09144868874877514,30,CD3,2023-03-08
6,12,8,10,29.351,19.054,3.6980055213917984,1.5404114621601763,-1.85,2,5.742637237435157,174.1360212484241,-3.9678775439452307,71.1548691145054,-40.86166010017835,69.09504083035915,31,CD3,2023-03-08
8,11,9,10,102.236,23.69,1.8796664873194247,4.315576192486281,-1.7750000000000001,1,7.874401645720501,126.9937761611982,-3.84608634051271,41.67309658074116,-32.81507002976575,48.842902782371304,32,CD3,2023-03-08
3,15,7,11,17.651,25.489,6.148619559249876,0.6924948016791557,-1.8499999999999999,4,4.268602619922462,234.26870314252037,0.16582650649974173,-9.468701081995079,4.041812224586678,-3.8847960624349276,35,CD3,2023-03-08
5,14,8,11,18.497,19.492,5.1456240914694025,0.9489534167863738,-1.775,3,4.915805776103443,203.42544956946182,-0.12749250153586456,5.142511510108108,-2.5279587785067887,2.593521944166853,37,CD3,2023-03-08
7,13,9,11,29.217,16.678,3.6525091059037025,1.7518287564456168,-1.7000000000000002,2,6.410552151074615,155.99280318347738,-0.3853645664886223,8.845620314738113,-5.670531033623374,6.011409897414572,38,CD3,2023-03-08
9,12,10,11,78.702,17.419,1.8761361487197266,4.518169814570297,-1.625,1,8.171467286781988,122.37704256830119,-3.8979547623251065,39.52303382361728,-32.29611779640666,47.70201758783719,39,CD3,2023-03-08
4,16,8,12,19.215,19.525,5.199877495596897,0.984122919334187,-1.7,4,5.11766095107167,195.40176841738486,0.8599332029007591,-39.46529193648411,20.196998346598846,-16.80324685676341,42,CD3,2023-03-08
6,15,9,12,26.213,19.184,4.763257097143395,1.3663990825688073,-1.625,3,6.524990554557898,153.2569268320964,1.0694425958199734,-30.042717413233987,19.60284473546038,-16.3899485658709,44,CD3,2023-03-08
8,14,10,12,39.483,16.985,3.558118421144393,2.3245805122166616,-1.55,2,8.265797786976513,120.98045775757875,-0.14697605418651882,2.1135989925089405,-1.7470581874836182,1.7781230314887753,45,CD3,2023-03-08
10,13,11,12,105.862,15.174,1.8685752249224108,6.9765388163964674,-1.475,1,12.68274166304822,78.84730498875872,3.2063574886545627,-26.678176207130477,33.83524168763156,-25.281264681093667,46,CD3,2023-03-08
7,16,10,13,34.193,18.6,3.899908121697674,1.8383333333333332,-1.475,3,7.17435662179183,139.3853209028582,1.069669544475647,-24.423239197757482,17.522102786403725,-14.909623271675217,51,CD3,2023-03-08
9,15,11,13,52.495,17.421,3.3263922214480157,3.0133172607772227,-1.4000000000000001,2,10.0175490685438,99.82481674485722,0.25593009764583563,-2.6172067536291905,2.6217997077004616,-2.554817509698898,52,CD3,2023-03-08
11,14,12,13,100.96,13.268,1.8490027606959014,7.609285498944828,-1.325,1,13.970272487974844,71.5805651508063,0.6527954903281543,-3.5087329329604984,4.901795516098948,-4.672747012558685,53,CD3,2023-03-08
10,16,12,14,56.098,16.619,2.59993874779845,3.37553402731813,-1.25,2,8.793126643211068,113.72519020547402,-0.07792459852824152,0.998978536795363,-0.8784144787891359,0.8861989789309422,58,CD3,2023-03-08
12,15,13,14,90.862,11.117,1.779059210572197,8.173248178465412,-1.175,1,14.32927466412943,69.78720301197846,6.524601495760484,-58.34116039634914,83.59865115433172,-45.533368915689515,59,CD3,2023-03-08
13,16,14,15,89.564,10.422,1.2999693738992246,8.593744003070427,-1.0250000000000001,1,10.961675354854865,91.22693088671939,4.912612821428512,-74.08794137226731,81.21279610323147,-44.81625903336704,64,CD3,2023-03-08
1,4,2,3,74.146,55.076,1.8843772118804263,1.3462488198126226,-2.825,1,2.581205790185864,387.41583635142604,-10.254647496255767,309.50905620333185,-79.89065679870022,397.28128362509847,1,CD3,2023-04-16
2,5,3,4,33.757,27.024,1.88422622179055,1.2491489046773236,-2.675,1,2.3769936043762967,420.69949122239717,-10.066377432733635,340.3354164859214,-80.89751083297784,423.491986440366,3,CD3,2023-04-16
1,7,3,5,32.8,47.648,3.7564016479116678,0.6883814640698455,-2.6,2,2.6620796110837652,375.64616619143396,-2.714057113667258,189.63899204421926,-50.48340941873926,101.95251495736943,5,CD3,2023-04-16
3,6,4,5,73.52,54.51,1.8840176612835497,1.3487433498440653,-2.5249999999999995,1,2.5777448611268836,387.9359881888548,-7.137356515807942,285.0034544765297,-73.46661901802842,276.88374530161155,6,CD3,2023-04-16
2,8,4,6,16.731,22.132,3.7522722974394527,0.7559642147117297,-2.4499999999999997,2,2.9058009530136926,344.139194724563,-2.476064116917445,158.33000274257319,-46.00754728600297,85.21107112823559,8,CD3,2023-04-16
4,7,5,6,93.921,49.532,1.883721200271019,1.8961681337317293,-2.375,1,3.680832034049824,271.67770513552966,-6.685640131688401,175.21287274008307,-64.49291547595931,181.6339368339105,9,CD3,2023-04-16
1,10,4,7,21.355,37.214,5.5470082820877025,0.573843177298866,-2.3749999999999996,3,3.192151255000087,313.2683635944979,-0.39341553357969694,34.372429153936935,-10.972199286114146,12.324464041716778,12,CD3,2023-04-16
3,9,5,7,34.558,40.399,3.74626054952539,0.8554172132973589,-2.3000000000000003,2,3.2501153223188637,307.68138999034926,-2.4141757246642714,131.1367894912963,-42.620968884536545,74.27969426456616,13,CD3,2023-04-16
5,8,6,7,76.248,41.443,1.883285077845799,1.839828197765606,-2.2249999999999996,1,3.7352118278265536,267.7224334508173,-6.5823883347087655,170.80067022615356,-63.79766836294314,176.22530228865034,14,CD3,2023-04-16
2,11,5,8,9.557,14.152,5.506705589363202,0.6753109101187112,-2.225,3,3.7163739719214095,269.0794864982299,-0.4046819185766206,26.423228837247336,-9.819859990486922,10.889160284571554,17,CD3,2023-04-16
4,10,6,8,33.929,35.83,3.737150449844826,0.9469439017583032,-2.15,2,3.5732794088243813,279.8549695079688,-2.7901437009902934,122.70684612487295,-43.84658465797903,78.08355803634898,18,CD3,2023-04-16
6,9,7,8,101.859,37.737,1.882616083862525,2.699181174974163,-2.0749999999999997,1,5.703734792898164,175.32371968716365,-4.967274394109337,81.6118708380828,-46.54924672126838,87.0881023482051,19,CD3,2023-04-16
1,13,5,9,16.274,31.197,6.940741393216954,0.521652723018239,-2.1500000000000004,4,3.635240762076432,275.0849435977398,0.003996545892350767,-0.302758375898577,0.11005995891266618,-0.10993896013829939,21,CD3,2023-04-16
3,12,6,9,17.657,23.927,5.443253015796695,0.7379529401930873,-2.0749999999999997,3,4.033400316966381,247.92976680086258,-0.48565990846024754,26.644820348175358,-10.746922683784286,12.040954784907735,23,CD3,2023-04-16
5,11,7,9,28.826,24.898,3.72263957071142,1.157763675797253,-2.0,2,4.385591376603912,228.01941953250875,-3.579240580835232,102.46749259373622,-44.93805519013148,81.61363596092491,24,CD3,2023-04-16
7,10,8,9,92.614,34.584,1.8815348960355187,2.67794355771455,-1.925,1,5.087395641710972,196.56422862045855,-6.2788147206571265,108.58415715258766,-55.241056785693374,123.4190372216748,25,CD3,2023-04-16
2,14,6,10,12.609,22.028,6.652784442896036,0.5724078445614672,-1.9999999999999998,4,3.821170148785745,261.69994034884064,-0.01818985938799944,1.2398642238964044,-0.4737732160900366,0.47602851167932325,28,CD3,2023-04-16
4,13,7,10,17.756,21.782,5.33717763171659,0.8151684877421724,-1.9249999999999998,3,4.389274217016005,227.82809880578344,-0.08071830734931762,4.114078133682568,-1.8057817078962233,1.8389898502215916,30,CD3,2023-04-16
6,12,8,10,26.016,17.174,3.6980055213917984,1.5148480260859438,-1.85,2,5.639973852520138,177.30578654246153,-4.070540928860249,74.32463440854283,-41.91889946623001,72.17304610448487,31,CD3,2023-04-16
8,11,9,10,88.899,21.261,1.8796664873194247,4.181317906025116,-1.7750000000000001,1,7.67470727801119,130.29812913713346,-4.045780708222021,44.97744955667642,-34.51887594590056,52.71576571804363,32,CD3,2023-04-16
3,15,7,11,17.336,25.462,6.148619559249876,0.6808577488021365,-1.8499999999999999,4,4.196932512373931,238.26925904852476,0.09415639895121064,-5.468145175990685,2.2949436271495967,-2.2434575412782256,35,CD3,2023-04-16
5,14,8,11,18.166,19.48,5.1456240914694025,0.9325462012320328,-1.775,3,4.818245524072802,207.54442566362053,-0.225052753566505,9.261487604266819,-4.462412119551431,4.670844448297664,37,CD3,2023-04-16
7,13,9,11,27.793,16.226,3.6525091059037025,1.712868236164181,-1.7000000000000002,2,6.2455964698641635,160.1128098533316,-0.5503202476990738,12.965626984592348,-8.097807412454552,8.811332117828016,38,CD3,2023-04-16
9,12,10,11,68.841,15.262,1.8761361487197266,4.51061459834884,-1.625,1,8.159607742137302,122.55491092247813,-3.9098143069697926,39.70090217779422,-32.39437887797654,47.91669441141134,39,CD3,2023-04-16
4,16,8,12,18.862,19.035,5.199877495596897,0.9909114788547412,-1.7,4,5.153069748233625,194.05908494500412,0.8953420000627137,-40.80797540886485,21.028634356608315,-17.374924924500004,42,CD3,2023-04-16
6,15,9,12,25.736,18.594,4.763257097143395,1.3841023986232117,-1.625,3,6.613034668331671,151.2165065138361,1.157486709593746,-32.083137731494304,21.21669020872317,-17.503109656096143,44,CD3,2023-04-16
8,14,10,12,38.451,16.12,3.558118421144393,2.3852977667493795,-1.55,2,8.470074428171614,118.06271697849344,0.05730058700858187,-0.8041417865763663,0.6811140783104696,-0.676506298669576,45,CD3,2023-04-16
10,13,11,12,102.36,14.308,1.8685752249224108,7.154039698071009,-1.475,1,13.09234048377505,76.38053724918554,3.6159563093813922,-29.144943946703663,38.15755295307831,-27.618868558013283,46,CD3,2023-04-16
7,16,10,13,33.471,18.11,3.899908121697674,1.8482054113749309,-1.475,3,7.211131277957878,138.67449661562537,1.106444200641695,-25.13406348499032,18.12450313387928,-15.343559255726497,51,CD3,2023-04-16
9,15,11,13,50.741,16.615,3.3263922214480157,3.053927174240145,-1.4000000000000001,2,10.157773773130081,98.44676819297321,0.3961548022321164,-3.995255305513197,4.0582899559300705,-3.9000159983878366,52,CD3,2023-04-16
11,14,12,13,90.446,12.111,1.8490027606959014,7.46808686318223,-1.325,1,13.914874595992844,71.86554166201228,0.5973975983461539,-3.2237564217545156,4.485816633674075,-4.2932301992731565,53,CD3,2023-04-16
10,16,12,14,53.201,16.076,2.59993874779845,3.309343120179149,-1.25,2,8.639786284568208,115.74360372618605,-0.23126495717110096,3.0173920575073936,-2.606962251361743,2.676743955856529,58,CD3,2023-04-16
12,15,13,14,84.911,10.697,1.779059210572197,7.937833037300178,-1.175,1,14.151384931276382,70.66446180754163,6.346711762907436,-57.463901600785974,81.31937912057114,-44.84869709734476,59,CD3,2023-04-16
13,16,14,15,88.411,10.581,1.2999693738992246,8.355637463377754,-1.0250000000000001,1,10.7790856819805,92.77224706281994,4.730023148554148,-72.54262519616675,78.1943172585279,-43.881487615052286,64,CD3,2023-04-16
1,4,2,3,69.577,51.621,1.8843772118804263,1.3478429321400205,-2.825,1,2.5966609747956375,385.10995840675815,-10.239192311645994,307.203178258664,-79.77025043174604,394.3214925256787,1,CD3,2023-05-17
2,5,3,4,50.712,39.885,1.88422622179055,1.271455434373825,-2.675,1,2.438542579264305,410.0810084282779,-10.004828457845626,329.7169336918022,-80.4028781911925,410.2790143145267,3,CD3,2023-05-17
1,7,3,5,32.107,46.95,3.7564016479116678,0.6838551650692225,-2.6,2,2.6487007024466775,377.5436005571609,-2.727436022304346,191.53642640994622,-50.73226671761509,102.97260161500836,5,CD3,2023-05-17
3,6,4,5,70.162,51.872,1.8840176612835497,1.3525987045033931,-2.5249999999999995,1,2.595188821901393,385.3284167844632,-7.119912555033432,282.3958830721381,-73.28706390997856,274.35046324748544,6,CD3,2023-05-17
2,8,4,6,24.048,32.287,3.7522722974394527,0.7448198965527921,-2.4499999999999997,2,2.859890930907717,349.6636844407924,-2.5219741390234205,163.85449245880255,-46.86059769714163,88.18427695153245,8,CD3,2023-05-17
4,7,5,6,87.826,47.556,1.883721200271019,1.8467911514845656,-2.375,1,3.5858773848542307,278.8717774410602,-6.780594780883995,182.4069450456136,-65.40889390794143,189.09165186526954,9,CD3,2023-05-17
1,10,4,7,20.741,37.147,5.5470082820877025,0.5583492610439605,-2.3749999999999996,3,3.113033677162853,321.2300616392229,-0.47253311141693066,42.334127198661974,-13.178756366273056,15.179184050703448,12,CD3,2023-05-17
3,9,5,7,33.252,39.465,3.74626054952539,0.8425693652603573,-2.3000000000000003,2,3.214608637827292,311.07985844145736,-2.449682409155843,134.5352579424044,-43.2478202273976,76.20468570667279,13,CD3,2023-05-17
5,8,6,7,74.133,40.13,1.883285077845799,1.847321206080239,-2.2249999999999996,1,3.7421451716026195,267.2264046805372,-6.5754549909327,170.30464145587348,-63.73046917256124,175.71351963656394,14,CD3,2023-05-17
2,11,5,8,14.424,22.25,5.506705589363202,0.6482696629213482,-2.225,3,3.571310341192648,280.00926955736014,-0.5497455493053822,37.35301189637755,-13.339919766022524,15.39338497034097,17,CD3,2023-05-17
4,10,6,8,32.67,35.425,3.737150449844826,0.9222300635144673,-2.15,2,3.4781706626454945,287.5074563590852,-2.8852524471691803,130.35933297598936,-45.34120075591216,82.9531592039437,18,CD3,2023-05-17
6,9,7,8,101.065,37.621,1.882616083862525,2.686398553999096,-2.0749999999999997,1,5.659342355022035,176.69897618273816,-5.011666831985465,82.98712733365731,-46.96525646409738,88.55563981808184,19,CD3,2023-05-17
1,13,5,9,15.705,31.428,6.940741393216954,0.4997136311569301,-2.1500000000000004,4,3.4858834101675384,286.87132710268645,-0.145360806016543,11.48362512904805,-4.003057832593161,4.169984733068191,21,CD3,2023-05-17
3,12,6,9,17.13,24.557,5.443253015796695,0.6975607769678707,-2.0749999999999997,3,3.8042379689494368,262.86473353194464,-0.7148222564771913,41.579787079257414,-15.817940474774433,18.79015619715802,23,CD3,2023-05-17
5,11,7,9,29.211,26.791,3.72263957071142,1.090328841775223,-2.0,2,4.163480077644978,240.1836880088154,-3.801351879794166,114.63176107004288,-47.72670534804827,91.3022713908206,24,CD3,2023-05-17
7,10,8,9,90.665,35.49,1.8815348960355187,2.5546632854325164,-1.925,1,4.887001817339032,204.62443792265645,-6.479208545029067,116.64436645478557,-57.00412308468971,132.58044067102458,25,CD3,2023-05-17
