time,value,station_no,station_name
2022-01-12 00:00:00+01:00,1954.29,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-01-13 00:00:00+01:00,2104.74,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-01-14 00:00:00+01:00,2132.79,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-01-15 00:00:00+01:00,2224.87,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-01-16 00:00:00+01:00,2395.44,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-01-17 00:00:00+01:00,2521.63,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-01-18 00:00:00+01:00,2587.82,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-01-19 00:00:00+01:00,2622.66,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-01-20 00:00:00+01:00,2198.78,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-01-21 00:00:00+01:00,2137.83,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-01-22 00:00:00+01:00,2594.04,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-01-23 00:00:00+01:00,2368.87,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-01-24 00:00:00+01:00,2405.29,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-01-25 00:00:00+01:00,2264.65,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-01-26 00:00:00+01:00,2335.6,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-01-27 00:00:00+01:00,1627.36,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-01-28 00:00:00+01:00,1696.95,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-01-29 00:00:00+01:00,2243.81,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-01-30 00:00:00+01:00,1609.86,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-01-31 00:00:00+01:00,1847.48,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-02-01 00:00:00+01:00,2047.5,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-02-02 00:00:00+01:00,2592.89,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-02-03 00:00:00+01:00,2647.56,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-02-04 00:00:00+01:00,2582.13,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-02-05 00:00:00+01:00,2056.67,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-02-06 00:00:00+01:00,2529.12,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-02-07 00:00:00+01:00,2090.37,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-02-08 00:00:00+01:00,2522.5,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-02-09 00:00:00+01:00,2316.75,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-02-10 00:00:00+01:00,2328.62,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-02-11 00:00:00+01:00,1963.57,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-02-12 00:00:00+01:00,2536.95,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-02-13 00:00:00+01:00,2422.12,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-02-14 00:00:00+01:00,1891.03,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-02-15 00:00:00+01:00,2750.01,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-02-16 00:00:00+01:00,2461.79,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-02-17 00:00:00+01:00,2415.53,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-02-18 00:00:00+01:00,2384.47,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-02-19 00:00:00+01:00,2290.89,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-02-20 00:00:00+01:00,2389.59,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
