time,count,min,max,median,mean,std,sem,field,pval
2020-05-20 10:50:31,221,0.18823529411764706,0.5725490196078431,0.21568627450980393,0.23981900452488694,0.07538247910813436,0.005070774284003739,cd,0.004569390656165207
2020-09-05 10:56:19,221,0.788235294117647,0.9294117647058824,0.9098039215686274,0.9006654245408574,0.025793648224280288,0.0017350685418384645,cd,0.002435742334964745
2020-09-10 10:56:31,12,0.16862745098039217,0.23921568627450981,0.2,0.20522875816993466,0.02046075273529219,0.005906510549771659,cd,
2020-09-12 10:46:29,221,0.5803921568627451,0.8823529411764706,0.8588235294117647,0.8459941442640406,0.05029238277951361,0.003383031764102745,cd,0.7588677121647676
2020-09-15 10:56:39,221,0.6078431372549019,0.8588235294117647,0.8313725490196079,0.819714311063792,0.04374980443757348,0.0029429303187814824,cd,0.00016667808902643118
2020-09-17 10:50:31,221,0.5803921568627451,0.8666666666666667,0.8392156862745098,0.8248602608464201,0.0455710364389356,0.0030654396406686575,cd,0.010650287131227386
2020-09-20 10:57:41,221,0.5254901960784314,0.8588235294117647,0.8313725490196079,0.8157749977819183,0.05306959511856573,0.0035698472824658672,cd,0.0005645834748950956
2020-09-22 10:46:49,221,0.4666666666666667,0.8588235294117647,0.8274509803921568,0.8051282051282052,0.07576290867429832,0.0050963647459227705,cd,0.01671456784138487
2020-10-10 11:00:01,198,0.1803921568627451,0.49411764705882355,0.28823529411764703,0.30194097841156664,0.0686271651803431,0.004877120259301319,cd,0.5141789347995837
2020-10-12 10:49:09,173,0.16470588235294117,0.5764705882352941,0.20392156862745098,0.22595489062677096,0.0738818909218206,0.0056171361504644265,cd,0.03883011110976852
2020-11-04 11:02:29,221,0.23921568627450981,0.6980392156862745,0.3058823529411765,0.3456481235027947,0.10643940114125815,0.00715988893569844,cd,0.7404396951002632
2020-11-06 10:52:41,221,0.2,0.6392156862745098,0.27450980392156865,0.3089344335019076,0.1000288346453673,0.006728667568109436,cd,0.49629828129682396
2020-11-09 11:03:01,221,0.2901960784313726,0.5764705882352941,0.38823529411764707,0.3923520539437495,0.04203382415093481,0.0028275009933958995,cd,9.736938905367645e-18
2020-11-14 11:03:19,221,0.2823529411764706,0.7019607843137254,0.4117647058823529,0.42603140803832845,0.08482298214942648,0.005705811239755405,cd,0.18581605084593253
2020-12-01 10:54:19,221,0.32941176470588235,0.6549019607843137,0.44313725490196076,0.4558779167775708,0.058521278436407365,0.003936567187405429,cd,0.5793310087994035
2020-12-06 10:54:31,221,0.3803921568627451,0.6941176470588235,0.4666666666666667,0.48295625942684767,0.06548917560981546,0.004405278673396972,cd,0.25964701046795413
2020-12-09 11:04:41,184,0.050980392156862744,0.39215686274509803,0.1803921568627451,0.1893009377664109,0.06329179791058222,0.0046659332462483365,cd,3.4366603217512246e-32
2021-01-08 11:04:31,221,0.28627450980392155,0.4627450980392157,0.3411764705882353,0.34543518764972053,0.03198036712376624,0.002151232290617165,cd,0.15177609068336798
2021-01-25 10:53:31,221,0.2980392156862745,0.7529411764705882,0.5019607843137255,0.5021204862035312,0.08404480907566066,0.005653465654181129,cd,0.04004265315984639
2021-02-24 10:50:31,221,0.3058823529411765,0.611764705882353,0.4745098039215686,0.46224824771537576,0.06766101650590611,0.004551372501765848,cd,0.7771929339035101
2021-02-27 11:00:11,221,0.2980392156862745,0.615686274509804,0.49019607843137253,0.47619554609173975,0.06495646405688875,0.00436944461652684,cd,0.8199909166674697
2021-03-06 10:50:31,221,0.35294117647058826,0.6627450980392157,0.5333333333333333,0.521125011090409,0.061960633790413035,0.004167923264957947,cd,0.03771134528056941
2021-03-11 10:47:49,221,0.3411764705882353,0.615686274509804,0.49019607843137253,0.48038328453553364,0.05560048979985295,0.0037400936821230554,cd,0.061535806215713404
2021-03-14 10:57:29,221,0.3568627450980392,0.6392156862745098,0.5098039215686274,0.49912163960606865,0.06405460919609159,0.004308779293627682,cd,0.3575453775127322
2021-03-24 10:56:39,221,0.4,0.7098039215686275,0.5764705882352941,0.5648655842427468,0.06254439191122434,0.004207191085572364,cd,0.760664069226628
2021-03-26 10:50:31,211,0.34509803921568627,0.6901960784313725,0.5098039215686274,0.5105845181674565,0.072928225236424,0.005020586074498032,cd,0.005190090599405453
2021-03-29 10:56:31,221,0.33725490196078434,0.8352941176470589,0.6431372549019608,0.62436341052258,0.09833899850928135,0.006614996888603749,cd,0.10642047514848375
2021-03-31 10:46:19,221,0.3215686274509804,0.8235294117647058,0.6352941176470588,0.624753792919883,0.09497636275035592,0.006388801529488921,cd,0.09141576333257176
2021-04-13 10:56:19,221,0.4117647058823529,0.8745098039215686,0.7019607843137254,0.6956969213024576,0.09153175745443519,0.006157092302626772,cd,0.05708906019394692
2021-04-18 10:56:11,221,0.4235294117647059,0.8901960784313725,0.7215686274509804,0.7176825481323752,0.09060750344051578,0.006094920249636224,cd,0.027064809296705183
2021-04-20 10:46:19,125,0.40784313725490196,0.6274509803921569,0.5058823529411764,0.5118431372549019,0.048089625412139486,0.004301266857361809,cd,9.972567339881004e-06
2021-04-23 10:56:19,221,0.4666666666666667,0.9254901960784314,0.7764705882352941,0.7699937893709521,0.08377094051449774,0.005635043261158608,cd,0.12100646818184388
2021-04-25 10:50:21,221,0.4745098039215686,0.8352941176470589,0.7215686274509804,0.7169905066098837,0.07263316460616497,0.004885835377242306,cd,1.6911949562614872e-46
2021-04-30 10:46:19,221,0.5686274509803921,0.8274509803921568,0.7450980392156863,0.7309023156774022,0.05881943167236732,0.003956623144432652,cd,2.0779516668078018e-22
