Z,2023-04-16,2023-05-17,2023-06-07,2023-07-03,2023-08-02,2023-09-06,2023-10-04,2023-11-14,2023-12-13,2024-02-09,2024-03-19,2024-04-16,2024-05-14,2024-06-04,2024-08-07,2024-09-04,2024-10-09,2024-11-13
-4.7,337.67482322547136,327.2517882753056,299.12400776545064,614.8916653554942,298.39593265409655,180.62322322655814,172.58700046849387,310.3051695957661,164.65589281419716,182.87378514720834,182.4823831317239,310.8301121706613,185.22928090209845,319.79904860852514,1020.3052610604867,250.48114673187456,809.1472619659565,953.4919834356665
-4.6,337.43558934566806,327.03737963883884,298.95902249131905,614.6526672355309,298.05534579482827,180.63304909597161,172.47502992471422,310.50498469215995,164.1523676278519,182.4032120972174,180.95296617725174,310.6141236584739,183.82045944864828,319.5917039888953,1018.8590306773665,250.28615546420758,808.1945224887312,952.4913479492295
-4.5,337.55766829930883,327.2067823152802,299.14927569997315,615.3757100039561,298.3997290150166,180.88994173248963,172.56114565643486,311.2893411146406,164.3639935812828,183.2735987020344,180.9207873009287,310.7414447329646,183.31848525317653,319.76878170320595,1018.2110743317918,250.330579660389,807.8829845765529,952.2683136766101
-4.4,334.4352277347134,324.44050758078623,296.728941746644,612.4335802565981,296.8306408483052,180.19439269648524,171.04503596717328,311.5330398181357,165.3857722596826,190.02150342344976,184.63595732186008,307.8593712112573,183.5808512092053,317.1093656494624,1002.678853398928,247.6990187818149,796.7327070771778,939.7198085087904
-4.3,333.4054322580591,323.5276590906176,295.9209710824219,611.5002015740771,296.1861116011816,179.94190097918988,170.54113472720076,311.458368904835,165.9273427536948,192.6149062923184,186.6859471764334,306.90556597627545,184.53461334195916,316.23269300356236,997.634747057497,246.83303560406682,793.0965397323298,935.5283661694511
-4.2,331.13681545310664,321.8323273817594,294.3870373657499,611.622501747871,295.12334372361875,180.05452676210493,169.547171038699,311.60277746780815,170.8641439535641,202.63378491014353,195.35034833510733,304.8734940355514,190.0306741179805,314.65462527370204,982.5063566778421,244.93007636481542,783.3078439289981,923.7982174644476
-4.1,331.9941519230139,323.37767760045153,295.7830893145085,618.6246142150579,297.0632682274066,182.1437684355046,170.2098035438583,315.0954968587456,183.54092008701662,217.85025998840035,210.22367667808751,305.7733238627045,204.0715303025036,316.2438927970261,974.7970464979127,245.35062086270392,780.2442698393452,919.8876923225918
-4.0,332.93014106042,324.59351153648635,296.8941531521067,622.9918606368661,298.1430663965086,183.4055795882657,170.80004507803588,316.5058086206293,188.11699057346135,222.85829829676607,215.79106892915212,306.66226719437543,210.30775020092216,317.4516353408626,973.3003921090974,246.00287286066924,780.3158760445835,919.8515648848162
-3.9,334.66861462393075,327.6980059396651,299.75850016386,639.0347238488547,300.96934342628884,187.63667364894067,172.23438565159694,320.8705013912588,200.45521505081783,240.16141285382656,234.88337685567345,308.38300544492296,228.5242921352692,320.5957774052243,959.570619906513,247.1035373346957,774.9387857102994,913.0166277029766
-3.8,335.2159433172188,328.634676970171,300.6385984725596,643.9111219931137,301.8858326457477,188.84148171312182,172.68202514329317,322.27161980026284,202.23912127263597,244.16682315827046,239.08631967504581,308.9244924778369,231.47552878581644,321.55897266725157,955.9987951429827,247.47027485191785,773.666192542751,911.3522386253208
