Z,2022-10-06 00:00:00,2022-12-01 00:00:00,2023-01-19 00:00:00,2023-02-08 00:00:00,2023-03-08 00:00:00
-4.09,112.10849225346223,176.69487379458207,141.64728382940655,411.69997393218694,1004.159269203496
-4.08,117.02099460938254,178.4017378559289,150.05774296978348,417.01844344342175,856.034366645002
-4.07,121.46878807410694,178.15971538789492,150.89150663019166,416.00913822313385,793.1202608615483
-4.06,124.34870133286188,176.9618198038623,149.33491269937005,411.3204287067376,756.9789700459131
-4.05,125.26443831815746,164.6077706750382,132.6740309643012,360.28018260233614,561.9721779928225
-4.04,134.38656167066105,161.7985756838214,131.0395811246407,347.7112884116856,491.7591635958308
-4.02,127.13964844008717,175.22111596151632,147.38057048631268,401.77833317828873,706.6900169769397
-3.97,112.12118894525273,177.93433745638998,146.2958283934718,410.95930029124327,930.1304952693185
-3.96,118.66773581253257,178.92895238228988,151.87784011205045,414.6452817163537,804.7996885007608
-3.92,137.5416498036306,153.85895224803747,122.50745602581851,315.66560940652585,405.6291735128712
-3.91,129.96974355545618,166.56446513992194,137.45975348094962,361.53988831739105,537.6767382219882
-3.9,119.59450228258815,180.19045103588925,155.03984496883726,416.16930749588494,769.9313519547245
-3.89,128.41744978878117,175.31599409501544,148.67865838102804,394.7564208550508,670.772755559974
-3.77,110.22869321970343,179.7691828858075,151.0458623195063,404.2615636998989,844.1576168519895
-3.76,117.89464260085097,181.2161020274199,157.23159006070406,412.77618661157345,746.3576792636832
-3.71,120.07366161921196,181.59725163364692,158.57571165042947,410.8192115085251,713.1791806411042
-3.7,120.61373181758358,182.15450734668406,159.43625063686312,414.8815458992555,716.7203578328359
-3.67,136.7984244282506,152.0633285827419,121.89415446647884,301.6724570180854,389.1721600842446
-3.66,132.75821545092487,162.51852791461752,134.13851668116516,337.18690336226297,471.80687493509487
-3.65,130.42896462624964,174.04698209005426,148.6004234435936,377.04988945981256,610.8623566134812
-3.62,116.44752058425354,181.03087443094358,157.8736976791469,399.6328732646467,695.7568834156227
-3.53,130.94357404222973,167.59502298423283,141.26976114970532,348.5904872915339,516.8163266791211
-3.52,134.428754041632,159.5277331416411,131.34881818999344,321.3941762255745,443.90716774522684
-3.51,128.95099210936147,169.4173235075126,144.12918898786407,353.7882626336259,511.3252694128098
-3.5,115.82045929932175,185.00668071843282,166.07965190900734,409.59149622519203,654.2235777857696
-3.47,126.46649330371025,183.50081085338303,163.203676417409,404.208575222271,639.8644353589116
-3.43,112.14365936953344,184.61259000680099,166.00123205284424,400.6621543093193,638.4981044901261
-3.42,109.4831064419121,183.43477161556945,163.5409253152096,391.40537019029404,643.046947541099
-3.4,118.71364047893914,186.54355389049266,169.41155096829735,410.0207618625503,617.5078958728097
-3.39,126.52764896735917,185.41915196413893,166.46643043998154,406.89881271351476,627.4746772277454
-3.38,123.24234160227209,186.5743151792677,168.77915509585347,410.7757550968504,621.0877665052876
