time,sample id,name,depth,ec1_5_uS_cm-1,comment
2024-05-16,2024010159,RD2-30,0.3,61.0,
2024-05-16,2024010160,RD2-60,0.6,80.0,
2024-05-16,2024010161,RD2-90,0.9,85.0,
2024-05-16,2024010162,RD2-150,1.5,305.0,
2024-05-16,2024010163,RD2-200,2.0,1242.0,
2024-05-16,2024010164,RD2-300,3.0,3326.0,
2024-05-16,2024010165,RD3-30,0.3,69.0,
2024-05-16,2024010166,RD3-60,0.6,92.0,
2024-05-16,2024010167,RD3-90,0.9,74.0,
2024-05-16,2024010168,RD3-150,1.5,72.0,
2024-05-16,2024010169,RD3-200,2.0,413.0,
2024-05-16,2024010170,RD3-300,3.0,519.0,
