Z,2022-07-06,2022-08-02,2022-08-17,2022-09-06,2022-10-06,2022-11-04,2022-12-01,2023-01-19,2023-02-08,2023-03-08,2023-04-16,2023-05-17,2023-06-07,2023-07-03,2023-08-02,2023-09-06,2023-10-04,2023-11-14,2023-12-13,2024-02-09,2024-03-19,2024-04-16,2024-05-14,2024-06-04,2024-08-07,2024-09-04,2024-10-09,2024-11-13
-4.7,374.8601532654973,389.96678988222016,491.3672892982505,444.730003273539,459.34749975517553,480.4373217234225,473.6203438200472,476.3324761942128,559.7576367852558,627.4708440138385,592.1278818586451,390.6879690995058,637.3381206849359,448.6893321336641,512.8053709635741,568.8293140446375,509.37683456571773,508.2222596397096,538.1040150137369,550.2638257796275,534.3645381442767,500.14317515317913,514.919817444104,549.426819698892,567.1244553638011,669.3684495660442,597.1087596492606,574.6726640822047
-4.6,374.2075869014078,389.2945958565404,490.5080912694162,443.9594361899256,458.5523993543363,479.60854427353763,472.78769035218426,475.48577859282614,558.7761793391899,626.3636430204899,591.2189937970041,390.3520837480653,636.2130554012377,447.901091924859,511.91549238986863,567.8499978505063,508.4892373488478,507.3321327407665,537.1645715448875,549.3042505801018,533.428046446469,499.3812129936204,514.0149980067141,548.4631759632749,566.2812669321805,668.31083497597,596.0750871468159,573.6728345510907
-4.5,374.2610881467107,389.351499685223,490.58005110872796,444.02210607569276,458.6208777951624,479.68145237361745,472.8455312513522,475.54611623521157,558.8292518233034,626.4145913983074,591.4703688440026,391.3979831568088,636.2630970896772,447.9724993425713,512.00594138066,567.9355261939722,508.56028353978553,507.39545957598654,537.2360946128983,549.3566525596223,533.476097464527,499.58507565207015,514.0598158402414,548.5119623686331,566.5671096026747,668.5773183346996,596.1681571937039,573.7572191663912
-4.4,375.24283347462097,390.35636315516075,491.8885665213366,445.16361979200246,459.7953251150212,480.913675580846,474.04148511483515,476.78392586353243,560.1997402132837,627.9061909852992,594.0560606991633,397.790449434779,637.6800892267488,449.2048385670196,513.4459729934616,569.4199113802372,509.8914759403119,508.67002216583455,538.5999858986445,550.6252224745766,534.7070253874997,501.6412833278931,515.2377086953164,549.7698346068756,569.115774412421,671.3328216923643,597.7676603396384,575.2795809056576
-4.3,375.62752475145305,390.7454198013665,492.39795496362206,445.6084595617081,460.2454437403978,481.384712753931,474.5098856985403,477.27022811226016,560.7573788040077,628.5202425812286,594.9908464376969,399.5032947127714,638.2625904518972,449.6792641288837,513.9931562099658,569.9962558135796,510.411108783706,509.17063928812684,539.1327149389441,551.1333986082667,535.2118675203444,502.37308696276153,515.7197193802257,550.2837294227036,570.0239063400529,672.3609373759664,598.388727824185,575.8719826756077
-4.2,376.0394840656051,391.12025398452334,492.95580086564377,446.07500819512285,460.59645109390414,481.74995401014223,474.8925661628397,477.75718608916316,561.3705687287895,629.2047255746268,596.763267927872,403.4705077896433,638.9680673663636,450.2636055615096,514.6435125784625,570.6162816961645,510.9480151027167,509.6169219386679,539.6331816196464,551.6865643135447,535.7854447186625,503.6559007272898,516.2515096906019,550.8419569755117,571.7755995353851,674.5216779143138,599.0879689776208,576.4943779947457
-4.1,376.6007499612271,391.6307894570736,493.73813889783065,446.7271992544565,461.0932915716836,482.260156591802,475.40908476334806,478.4435275162841,562.2261680962199,630.1748410959085,598.8564088302875,407.77396895344197,640.1014048076518,451.08671769161555,515.6041334268706,571.492474424373,511.70276388165485,510.25027743367053,540.3380269593418,552.5520702669637,536.6229512741888,505.16659684183804,517.0447789761826,551.6818835799949,573.764886733806,677.2535635893779,600.0419522183519,577.3538416908078
-4.0,377.1228423931662,392.1374908967488,494.4495153492792,447.35285034805304,461.62463585000273,482.81352863045095,475.96730192213784,479.0803076171462,563.0268731581738,631.0883509097355,600.0874627476956,408.708012754036,641.1333130638324,451.8162235061041,516.4055198083664,572.310955577985,512.4096790059841,510.8976780871338,541.0343700273468,553.3570587385697,537.4241161346644,506.1454758028897,517.8094907195796,552.4932331337802,575.0104855467318,678.9694638342614,600.9026622786163,578.1534271400426
-3.9,378.20094458749344,393.0964197118777,495.99068328455246,448.6844969877522,462.42513434376934,483.63645125663305,476.8535016251493,480.33536631007473,564.7174296949435,633.0791390105561,603.4897170066985,413.98338439186296,643.6465141603417,453.611498081655,518.31806190895,574.0793070594865,513.8619459911756,512.0777769763982,542.3531753669645,555.1174777446911,539.2392311819129,508.7078737976396,519.5287202006715,554.3054746508652,578.6052413648669,684.5417356543693,602.7693691464382,579.7991602903792
-3.8,378.67689585723946,393.54428950516865,496.65151999278896,449.26799395477576,462.85594466857117,484.0821696694515,477.31725099197513,480.90573144252244,565.4465177726362,633.9280726064193,604.691194285265,416.07066470201187,644.6612707076177,454.3442267494946,519.102439271331,574.8396357929546,514.5041732691077,512.637724975293,542.9709681106391,555.862213930549,539.99999325,509.62787971094156,520.254658412237,555.0736352411395,579.8462051065247,686.4365802948429,603.5716673868722,580.523556872502
