time,rainfall_mm,wind_speed_avg,temp_min,temp_max,et,hum_out,solar_rad_avg,psmd
2022-07-01,0.4,7.478260869565218,10.222222222222221,20.111111111111114,0.181,73.3913043478261,6128,0.21900000000000003
2022-07-02,0.0,5.75,9.500000000000002,23.444444444444446,0.184,69.66666666666667,5911,0.03500000000000003
2022-07-03,0.0,6.958333333333333,11.444444444444446,19.777777777777775,0.195,71.29166666666667,6438,-0.15999999999999998
2022-07-04,0.0,5.208333333333333,10.277777777777779,21.27777777777778,0.19,75.33333333333333,6842,-0.35
2022-07-05,0.0,4.291666666666667,10.722222222222221,19.88888888888889,0.196,70.79166666666667,7323,-0.546
2022-07-06,0.0,4.333333333333333,9.27777777777778,21.555555555555554,0.173,75.45833333333333,6321,-0.7190000000000001
2022-07-07,0.2,8.916666666666666,10.833333333333334,18.5,0.149,74.33333333333333,4542,-0.668
2022-07-08,0.0,2.9166666666666665,9.61111111111111,23.333333333333336,0.197,72.16666666666667,7357,-0.865
2022-07-09,0.0,6.291666666666667,12.5,19.94444444444445,0.185,79.33333333333333,6959,-1.05
2022-07-10,0.0,2.2083333333333335,10.777777777777777,23.5,0.195,69.54166666666667,7259,-1.245
2022-07-11,0.0,2.5416666666666665,12.11111111111111,24.555555555555557,0.195,73.0,7163,-1.4400000000000002
2022-07-12,0.0,2.375,13.833333333333334,29.777777777777775,0.175,68.25,5746,-1.6150000000000002
2022-07-13,0.0,5.375,16.666666666666668,24.333333333333332,0.169,71.20833333333333,5029,-1.7840000000000003
2022-07-14,0.0,4.875,14.777777777777779,21.27777777777778,0.177,70.91666666666667,5935,-1.9610000000000003
2022-07-15,0.0,3.4166666666666665,11.11111111111111,21.555555555555554,0.197,67.95833333333333,7184,-2.1580000000000004
2022-07-16,0.0,5.541666666666667,12.166666666666666,21.888888888888893,0.215,67.66666666666667,7206,-2.373
2022-07-17,0.0,2.625,10.444444444444443,27.888888888888893,0.204,58.5,6694,-2.5770000000000004
2022-07-18,0.0,2.4583333333333335,13.388888888888891,34.05555555555556,0.231,50.875,6767,-2.8080000000000003
2022-07-19,0.0,4.625,17.0,37.94444444444444,0.294,42.208333333333336,6826,-3.1020000000000003
2022-07-20,7.6,4.875,17.38888888888889,24.22222222222222,0.079,82.29166666666667,2143,4.419
2022-07-21,3.8000000000000003,6.458333333333333,16.61111111111111,20.111111111111114,0.09,84.875,2963,8.129
2022-07-22,0.0,4.416666666666667,13.944444444444446,20.555555555555557,0.114,78.16666666666667,3764,8.014999999999999
2022-07-23,0.0,3.3333333333333335,12.888888888888891,24.277777777777782,0.168,77.0,6125,7.846999999999999
2022-07-24,0.0,5.166666666666667,14.11111111111111,29.055555555555554,0.215,66.29166666666667,6343,7.631999999999999
2022-07-25,0.0,9.333333333333334,17.5,22.77777777777778,0.175,71.875,3943,7.456999999999999
2022-07-26,3.2,5.875,14.444444444444445,19.22222222222222,0.119,75.08333333333333,3706,10.538
2022-07-27,0.0,4.75,10.777777777777777,19.94444444444445,0.183,70.625,6425,10.355
2022-07-28,0.0,6.75,12.5,21.888888888888893,0.156,65.70833333333333,4112,10.199
2022-07-29,0.0,3.5416666666666665,13.111111111111112,21.888888888888893,0.182,72.125,6633,10.017
2022-07-30,0.0,4.083333333333333,12.277777777777779,24.88888888888889,0.139,74.04166666666667,4343,9.878
2022-07-31,2.2,8.958333333333334,16.555555555555554,23.944444444444443,0.13,82.45833333333333,3506,11.948
2022-08-01,0.0,3.625,17.0,23.5,0.149,77.16666666666667,5233,11.799000000000001
2022-08-02,0.0,7.0,14.722222222222223,26.611111111111114,0.188,78.0,5847,11.611
2022-08-03,0.0,4.791666666666667,15.5,28.83333333333334,0.194,76.875,6411,11.417
2022-08-04,0.0,5.458333333333333,17.38888888888889,23.666666666666664,0.147,75.875,4685,11.27
2022-08-05,0.0,5.458333333333333,11.277777777777777,20.666666666666668,0.18,69.0,6018,11.09
2022-08-06,0.0,2.8333333333333335,10.388888888888891,21.444444444444443,0.168,67.95833333333333,6030,10.922
2022-08-07,0.0,3.1666666666666665,10.222222222222221,21.666666666666668,0.183,68.29166666666667,6419,10.739
2022-08-08,0.0,5.125,10.444444444444443,22.888888888888893,0.184,74.875,6292,10.555000000000001
2022-08-09,0.0,7.666666666666667,14.333333333333332,22.666666666666668,0.198,76.08333333333333,6269,10.357000000000001
2022-08-10,0.0,6.708333333333333,15.833333333333334,26.555555555555554,0.205,72.16666666666667,6087,10.152000000000001
2022-08-11,0.0,5.333333333333333,15.611111111111112,29.388888888888893,0.222,64.29166666666667,6117,9.930000000000001
2022-08-12,0.0,5.666666666666667,15.944444444444446,30.388888888888893,0.226,60.875,5961,9.704
2022-08-13,0.0,3.7916666666666665,14.666666666666666,31.500000000000004,0.228,51.666666666666664,6047,9.476
2022-08-14,0.0,3.125,15.111111111111112,31.27777777777778,0.174,49.958333333333336,4435,9.302000000000001
2022-08-15,0.2,5.708333333333333,17.77777777777778,26.611111111111114,0.155,72.0,4501,9.347000000000001
2022-08-16,0.7999999999999999,3.7916666666666665,15.66666666666667,27.055555555555557,0.11,80.20833333333333,3375,10.037
2022-08-17,19.6,3.0,16.666666666666668,21.333333333333336,0.04,90.45833333333333,1447,29.597
2022-08-18,2.8000000000000003,2.625,15.333333333333334,23.61111111111111,0.127,85.0,4755,32.27
2022-08-19,0.2,6.125,15.166666666666666,23.000000000000004,0.084,87.79166666666667,2699,32.386
2022-08-20,0.0,6.083333333333333,13.333333333333334,22.44444444444445,0.175,73.625,5566,32.211000000000006
