Z,2023-04-16,2023-05-17,2023-06-07,2023-07-03,2023-08-02,2023-09-06,2023-10-04,2023-11-14,2023-12-13,2024-02-09,2024-03-19,2024-04-16,2024-05-14,2024-06-04,2024-08-07,2024-09-04,2024-10-09,2024-11-13
-4.7,527.1650917426507,560.2364629629271,580.7780200701937,1135.687003511003,631.8613944000972,560.4456505075423,533.6307989368289,483.6205748793636,519.5788345924677,609.7384634784618,665.0366802366478,655.7845272165716,659.7760269317641,757.001795315024,574.3789095715606,601.912161578785,631.1235828918715,649.27532790604
-4.6,527.9826980069863,561.2421976553999,581.7187777134461,1137.7823957022104,632.4100543377313,561.3788191382022,534.5991173622896,484.41542176733964,520.4570164809597,610.6540080135366,665.4881057172222,656.2795465255341,660.5273220796726,758.3395946542732,575.3819079465969,602.9142758682722,632.2351298411969,650.4987943706539
-4.5,528.6010908013884,561.9456222048543,582.4028044833102,1139.5737681863773,632.7202956918121,562.1685319070048,535.3638869914082,485.0452806207104,521.1536209127545,611.3779456285585,665.6079340465737,656.4131310733824,661.3746237251457,759.4484976515812,576.1232856365865,603.7024753325871,633.1031824683507,651.4252330608115
-4.4,530.3453675326543,564.0483522102016,584.4027620877089,1145.849433529113,634.1427486752564,564.7352098059014,537.9455390738917,487.0066956862976,523.446341688578,613.5074808083241,664.3760457002137,655.1082050001609,664.5343359630496,763.3070841493654,578.3571881522267,606.0687638633309,635.9934390138446,654.4521717449957
-4.3,530.775291304408,564.488646932831,584.867034164445,1147.4822854983777,634.5596629144616,565.3950579448174,538.5564246990197,487.489101170619,524.0027372802589,613.9887464997556,663.7889571515931,654.5658382017041,665.4152522402904,764.3283563479742,578.8379739053372,606.6132552258721,636.6922306343923,655.1943096840337
-4.2,532.4736250837675,566.2375662499879,586.3304177249822,1153.1865621799177,634.3196311102132,567.3221411183445,540.4459879590879,488.93303570901986,525.6380563166998,615.1635183603419,660.811418601043,651.9368634852123,667.2475730215609,767.8587016571241,580.5234146283271,608.6688274064853,639.2295465402738,658.1759163034586
-4.1,535.7623010187185,569.4980756425898,589.2108578519903,1162.4191733381008,636.0626807523504,570.878088200687,543.9487405281058,491.5732454437585,528.6889489497157,617.55990988913,658.6991515131555,650.0527879700157,670.7259398010651,773.5783783826316,583.7456416364788,612.4868708821878,643.5659142167102,663.0369384827202
-4.0,538.6316735622743,572.5729988926856,592.1639914113246,1169.8296915872945,638.6486889159999,574.0146146777203,546.9734288515622,494.1112720351918,531.4881415040193,620.3383413125857,660.1053115511417,651.5940601975628,674.017003702176,778.2595429520609,586.806172754563,615.7573007756628,647.2321747696765,666.9895977711399
-3.9,550.371236865333,585.2820370834426,603.845691524861,1200.7033702332276,647.6512729233699,586.7807649310216,559.3756035075419,504.28117117011726,542.6559553517006,630.707078042102,664.810506499042,656.5302560453009,686.4815295074679,797.3772310550896,599.2209685103938,628.8530395663216,662.2106823236259,683.3151815352431
-3.8,553.1394118745204,588.1577737698136,606.387950201465,1208.0567633067626,649.260483886502,589.691589409309,562.1906215995637,506.52004348423924,545.1110038632467,632.7702995353029,665.3381158206732,657.0900040458018,689.1351895490842,801.7198011131323,601.9481779148445,631.8558383462736,665.5796935629517,687.0663192247449
-3.7,560.084493413202,595.6724107479679,612.7610841448688,1229.535771622523,653.7919165679573,597.2399674855282,569.7334706297199,512.0979814866229,551.3567248367378,636.7321519301812,665.0937660969145,656.937553974708,694.8079272338697,813.2981167908661,608.6981578735187,639.3953702579277,674.3354474991427,697.0448808915236
-3.6,565.0153778352001,601.0666906160131,616.5491348413332,1247.002034347688,656.5782601140854,602.2864875974715,574.7827150839904,515.384792972119,555.0584405906754,637.548423542744,661.7557952919109,653.9604990070875,697.1590059791474,821.5956845621071,613.0377127562226,644.1060743951634,680.6739534526703,704.6271995128402
-3.5,566.5656842024255,602.761149167828,617.6595710925683,1252.4071565604972,657.3989508694317,603.8602698904176,576.4532109167704,516.330530710336,556.1137327019198,637.1900193148738,660.5140243984248,652.8265497768398,697.4247682453863,824.0322618839008,614.2858483617663,645.5855033688882,682.5741734932786,706.9756591432379
-3.4,573.8795494973801,610.4367939342338,623.024869253247,1272.400148898881,660.8897518139024,610.9692000805865,584.2022461268247,521.039330552047,561.2245584815005,636.370594545779,656.8754365057018,649.2830536443415,699.1214448610068,834.2473156387734,620.2936029303556,652.3450228644429,691.3225455623179,717.4447640355988
-3.3,576.2090486428476,612.8028203266597,624.8273853600837,1277.1465716567625,662.028171310887,613.1862871033612,586.5660315942371,522.6779379585444,562.932575862518,636.5799975590128,656.5005729335207,648.970891812425,699.9985589751886,837.2050224475709,622.2645825939364,654.4632827111991,694.0225174808138,720.5784149877501
-3.2,573.2113268946575,605.5663395519535,613.4179151305051,1198.0475676370447,644.031554666821,605.6694121997554,582.0813375034029,519.1987784735344,557.2548420858002,622.1729801343185,639.4253910294412,632.1395217094677,682.2476851629788,813.9575748707446,613.5607291429678,645.2631852784064,685.4840831741641,711.7413596072381
-3.1,564.1183895520008,583.0012410462723,582.136488160333,967.2352593816117,597.7284103233794,582.8393586229872,566.1357096663605,510.9785009366051,542.6400782133843,595.0935216357559,606.8855259395139,598.7768632924202,639.7978805131968,745.8595665068844,591.4881139492331,620.6393464409977,660.2432127264377,681.2503188866001
-3.0,543.8794088819451,545.6600602801655,535.646172564378,703.8302624195368,538.6827022601751,546.0674218143986,535.8147085471395,496.68131951576515,520.5381910257149,564.6258560836998,570.0487006856214,559.5906000549993,585.3901712421768,651.1871913643497,558.0589080930522,583.0164566251749,619.2380538668051,631.6609097457508
-2.9,515.0796820219969,501.7551479164564,480.5976276355427,493.746421259363,482.9617933236406,502.6977277771042,499.2864382568801,484.48333064305797,500.69049788459074,530.1183347734047,529.59481564924,514.4956569580131,517.7868960753343,538.571565919708,520.4280474569772,539.7155515941507,569.8183431188163,575.5354522332442
-2.8,471.4031712155567,454.41102025811847,431.79500835271267,407.3535401319433,442.2807789392014,456.65568951525563,459.207120838277,458.58094922707375,468.8903606810272,478.92387641483015,475.4971748929724,458.4443100171626,449.0650016478029,453.6214674804378,477.7964239499111,492.2377291420716,513.9145258001755,517.5151838448614
-2.7,450.6829395757176,426.93522388483046,414.6419862797709,363.77684697913014,415.0698411233511,436.6372879845697,443.17791256031256,448.4979716034519,455.1761405022362,452.8553564318232,448.14911056219495,430.7810016237229,424.5747963317355,426.62505849085795,458.8979474641343,470.48944651222035,485.9567178393316,485.18831587380294
-2.6,448.5085618649273,412.95229166693906,408.76726018052915,310.40300060947453,396.6850761916824,430.6482777952,440.00179744318086,462.7003325543844,470.90400440631,456.60497316019695,450.0525717660394,428.76438877817344,420.5098316683083,412.1328118576086,463.34866313010866,472.0163576167668,483.73829381367693,478.64266965375475
-2.5,404.00490738027577,372.99531915749105,367.19517380284003,265.508841116904,358.63279245388225,385.8800182061018,394.3204816897456,417.0728040631689,427.82036992669924,421.83290918276475,412.382038762159,391.16862899601773,369.34882417649976,364.3451402228526,429.73760183514287,438.72349261223053,444.93235345160963,439.947663558684
-2.4,339.17207700302805,320.94668710268496,315.8076311824775,253.82932122793662,318.2329494235963,330.8523220399013,337.3623402396479,350.9159038154946,360.9728892073214,360.23683057157,350.8385750931012,333.6229977571446,310.1560909739259,311.57081949075405,370.50577940886063,378.7442132505064,382.951963159486,378.6822478518077
-2.3,266.49544581028397,258.51983211704294,252.76507816852725,241.01521936779432,265.43289735002384,265.99224906958204,272.2936908008625,282.77943586398953,289.75004048867464,280.821482594049,273.06787835986563,261.20315937494905,246.97892500373194,245.7659173255114,293.77753571990485,300.71738154720936,306.0606965524471,301.4469793554468
-2.2,213.9010743181458,208.20398988190425,207.65766976682286,202.31724282235476,209.22914699385856,217.00506832476228,225.83968970433747,230.19456972819853,229.46870715431655,211.88544969328674,202.62362301523726,198.8994441721816,197.4113736981033,204.81770826116312,227.5399349754648,236.72856046644918,241.9003574451973,237.18591851646775
-2.1,196.33257940532107,193.05376144730639,198.81494218877714,212.73561259511123,198.01540730597722,206.35298316361678,216.01835813470356,208.70288862293532,196.12212559395903,178.4013532023008,166.3439155741418,169.71927175284858,175.80885202410542,191.3097407980421,200.11551241054426,210.93696816351604,215.51052173126712,210.91294046561842
-2.0,175.19164947542848,175.38402124021394,187.81993801266452,239.99007130676262,186.80089061481613,193.58252745459092,200.73177740294355,186.7637856941037,168.98755355633816,150.85014170189072,141.60521578031415,144.4195073471407,155.17613894569814,179.26149772025857,171.6058745090545,181.97224803119371,186.57675264028197,181.85175439010152
-1.9,153.06068269668344,156.82770806321886,167.97527908582504,244.6869809932548,171.55323203030034,175.04758903449462,180.25003056491366,161.12935747327592,147.32651907007784,133.71200340682708,130.90225507224724,129.79239373272583,135.44776197821903,159.42257062803503,150.70344997973638,157.62172877686865,159.4566559177468,156.10783805011306
-1.8,142.95029538682203,147.22803012073672,155.59681393418373,212.9492425980364,162.51133673551374,166.01515979968664,169.8461159119083,144.52625004721395,130.7567788492591,123.51552728623787,122.32616330737916,122.4013688768809,125.12132792358433,143.1426097408463,142.75929867422363,148.1752176493574,147.685804955456,144.0792570349672
-1.7,129.1889666341411,131.4487240384849,135.52740836971614,141.8962230227842,140.20427257582674,150.3843162778598,152.68770015416413,127.56038021805577,114.30460012928187,108.92146755730691,108.6707215410342,110.01319284778177,111.51776233763822,123.88902954453764,129.62523948466324,135.02097562174987,133.50198364182364,129.03323308874909
-1.6,121.81742322904012,122.11156845243701,124.95624067781047,120.10809236071402,128.67579651917538,141.10434162747046,142.456630823236,115.05136709978683,104.11372591076865,100.59317819930577,102.3349748383942,103.68913818431393,106.67980474700211,114.6438391147051,124.21677998743134,128.81568638454155,126.756884281529,121.2665381430162
-1.5,118.27201488006521,118.47445136770892,123.41376045150083,125.48457909341332,124.9662145126143,137.4125884792079,138.69927689493915,105.84308039665592,98.19113161207984,96.20611736414773,99.01455248245645,102.38540574392805,105.86889105529167,114.15585850589524,121.37545106635129,123.84277665119677,121.49361300094839,115.51726958006418
-1.4,113.03009114798466,117.25452023756235,123.87792618819066,130.2837626036712,122.47045980270615,134.50102429594878,137.39193654578014,103.63878183552872,95.23201402851014,96.04712902883915,97.87662064887058,101.15663555784492,105.00664965233813,114.98779207212392,121.37055083300355,125.1105660675557,121.56856835186969,116.09361470218975
-1.3,96.53807720084907,103.99777540590574,111.48025862258206,95.62374061755185,107.79128070584969,121.72767491017642,125.27684600527522,99.11628085301085,90.03159027906628,91.00969601050478,91.63075643258765,93.48366533316366,95.86252023403637,107.68398501744319,109.62193355860515,112.78215752352365,109.14426085091223,104.45856129878732
-1.2,82.23736138565289,87.40377953902433,82.39990507538734,28.55465175015368,87.43897068955953,103.03169161252313,105.01850745531186,90.12518889141272,81.30449747391803,80.38223565557931,81.43852182387506,82.55602645194864,79.83977565826466,74.60824341408762,97.41509892883748,100.23017345967304,96.99585234767184,91.85892982905925
-1.1,71.74612809809524,73.12276232070934,56.32492907568393,6.650308109158013,68.32820921907728,83.65894606880657,84.0316194233973,81.81151865452968,73.99303602328683,72.0869309420405,72.05477756554461,72.48384973592786,63.99536892296849,45.005960739476855,82.56275771494612,87.51413000766284,84.93419018406637,79.78115947501841
-1.0,69.60293390983045,74.9963886239022,51.27727073015021,4.722286577854589,69.0027308572286,81.65352029861461,82.0353903561283,81.69313817167944,74.41263225868718,73.04458731746067,70.5402429128771,71.9657848728003,60.624094966302295,38.752838115698616,80.61311634835764,85.31817933157137,82.88990815305401,80.37279072584703
-0.9,69.50457333306314,75.37518031539364,42.83264180836075,2.2436906128135514,60.12283112699834,78.09375444742885,78.14959484963912,82.88207427468981,75.60590042165465,74.22882575024757,70.14994478929223,71.91975885038863,56.65059066842819,32.514402486753276,80.09937575507395,80.45715538455482,76.30782135718749,73.74197947899009
-0.8,74.57298045759023,71.1938903395023,31.759823399642475,0.5262524115914877,37.57226285482459,73.42933695554392,74.0491449639692,87.10682359391312,81.3800339807851,80.3911959788013,75.63268055669582,74.31334983960072,55.650312863822464,29.582407688999115,85.32964225168838,80.50002293552622,71.0263015758292,63.27959964799891
-0.7,79.0789491824552,70.38508746867596,28.925323504019786,0.2685926449225105,29.91282048416782,73.38986150688028,74.29193108457098,91.59823737784524,87.24333251203943,85.73787936681944,80.88008174472826,77.46348385891253,58.25057856532839,31.191213491905792,87.91938875788173,80.84879414457887,68.51136783394345,57.99757245780869
-0.6,83.92291099303563,73.60830321389098,30.089872977950648,0.2412760325449894,29.5668042570022,77.1151315142942,78.08473027378807,97.42384350280275,93.87253379905077,91.21636673760284,86.22506912368036,82.11656421824587,62.880205002501015,34.578815284466344,90.9143226752753,82.71104815707261,68.65362460264271,56.91853011038812
-0.5,88.94295003858748,77.83985453867751,32.050578159470646,0.25048462993213133,30.84993683376745,81.46163052629942,82.43258622481268,103.48725597649407,100.5746483587936,96.53787125838552,91.57016467866312,87.20589433859351,67.44220999590758,38.10746251539285,93.9637258818275,84.764349812359,69.14163741186537,56.53237244150317
