time,name,location,salinity_raw_ppm,salinity_factor,salinity_ppm,comment,sal,salinity_g.l-1,density_kg.m-3
2022-05-05,RD2-150,E150,,,440.0,after pumping,440.0,1.1185331040719417,1000.7989522171943
2022-05-05,RD2-200,E200,,,1100.0,after pumping,1100.0,2.796332760179854,1001.9973805429856
2022-05-05,RD2-300,E300,,,2000.0,after pumping,2000.0,5.084241382145189,1003.6316009872465
2022-05-05,RD1-150,F150,,,900.0,after pumping,900.0,2.287908621965335,1001.6342204442609
2022-05-05,RD1-200,F200,,,1500.0,after pumping,1500.0,3.8131810366088916,1002.7237007404349
2022-05-05,RD1-300,F300,,,2700.0,after pumping,2700.0,6.863725865896005,1004.9026613327828
2022-06-01,CD1-150,A150,,,130.0,,130.0,0.3304756898394373,1000.2360540641711
2022-06-01,CD1-200,A200,,,420.0,,420.0,1.0676906902504897,1000.7626362073217
2022-06-01,CD1-300,A300,,,1500.0,,1500.0,3.8131810366088916,1002.7237007404349
2022-06-01,CD2-150,B150,,,370.0,,370.0,0.9405846556968601,1000.6718461826406
2022-06-01,CD2-200,B200,,,1900.0,,1900.0,4.8300293130379295,1003.4500209378842
2022-06-01,CD2-300,B300,,,4600.0,,4600.0,11.693755178933936,1008.3526822706671
2022-06-01,CD3-150,C150,,,390.0,,390.0,0.9914270695183119,1000.7081621925131
2022-06-01,CD3-200,C200,,,1600.0,,1600.0,4.067393105716151,1002.9052807897973
2022-06-01,CD3-300,C300,,,2300.0,,2300.0,5.846877589466968,1004.1763411353336
2022-06-01,RD3-150,D150,,,,,526.6666666666666,1.3388502306315664,1000.9563215933083
2022-06-01,RD3-200,D200,,,170.0,,170.0,0.4321605174823411,1000.308686083916
2022-06-01,RD3-300,D300,,,400.0,,400.0,1.0168482764290379,1000.7263201974494
2022-06-01,RD2-150,E150,,,480.0,,480.0,1.2202179317148454,1000.8715842369392
2022-06-01,RD2-200,E200,,,1300.0,,1300.0,3.304756898394373,1002.3605406417103
2022-06-01,RD2-300,E300,,,1900.0,,1900.0,4.8300293130379295,1003.4500209378842
2022-06-01,RD1-150,F150,,,730.0,,730.0,1.8557481044829942,1001.325534360345
2022-06-01,RD1-200,F200,,,1500.0,,1500.0,3.8131810366088916,1002.7237007404349
2022-06-01,RD1-300,F300,,,2300.0,,2300.0,5.846877589466968,1004.1763411353336
2022-07-06,CD1-150,A150,,,300.0,,300.0,0.7626362073217784,1000.5447401480869
2022-07-06,CD1-200,A200,,,270.0,,270.0,0.6863725865896005,1000.4902661332783
2022-07-06,CD1-300,A300,,,1600.0,,1600.0,4.067393105716151,1002.9052807897973
2022-07-06,CD2-150,B150,,,570.0,,570.0,1.449008793911379,1001.0350062813653
2022-07-06,CD2-200,B200,,,1400.0,,1400.0,3.5589689675016323,1002.5421206910726
2022-07-06,CD2-300,B300,,,5300.0,,5300.0,13.473239662684751,1009.6237426162033
2022-07-06,CD3-150,C150,,,480.0,,480.0,1.2202179317148454,1000.8715842369392
2022-07-06,CD3-200,C200,,,1600.0,,1600.0,4.067393105716151,1002.9052807897973
2022-07-06,CD3-300,C300,,,1900.0,,1900.0,4.8300293130379295,1003.4500209378842
2022-07-06,RD3-300,D300,,,920.0,,920.0,2.338751035786787,1001.6705364541334
2022-07-06,RD2-300,E300,,,2800.0,,2800.0,7.1179379350032645,1005.0842413821451
2022-07-06,RD1-300,F300,,,3500.0,,3500.0,8.897422418754081,1006.3553017276815
2022-07-06,ditchRD,ditchF,,,1200.0,,1200.0,3.0505448292871136,1002.178960592348
2022-07-06,ditchCD,ditchA,,,690.0,,690.0,1.7540632768400901,1001.2529023406
2022-08-02,CD1-150,A150,,,940.0,,940.0,2.3895934496082387,1001.7068524640059
2022-08-02,CD1-200,A200,,,280.0,,280.0,0.7117937935003266,1000.5084241382145
2022-08-02,CD1-300,A300,,,1400.0,,1400.0,3.5589689675016323,1002.5421206910726
2022-08-02,CD2-150,B150,,,720.0,,720.0,1.8303268975722682,1001.3073763554088
2022-08-02,CD2-200,B200,,,1100.0,,1100.0,2.796332760179854,1001.9973805429856
2022-08-02,CD2-300,B300,,,1300.0,,1300.0,3.304756898394373,1002.3605406417103
2022-08-02,CD3-150,C150,,,550.0,,550.0,1.398166380089927,1000.9986902714928
2022-08-02,CD3-200,C200,,,1500.0,,1500.0,3.8131810366088916,1002.7237007404349
2022-08-02,CD3-300,C300,,,2100.0,,2100.0,5.338453451252448,1003.8131810366089
2022-08-02,RD3-300,D300,,,1100.0,,1100.0,2.796332760179854,1001.9973805429856
2022-08-02,RD2-300,E300,,,3300.0,,3300.0,8.388998280539562,1005.9921416289568
2022-08-02,RD1-300,F300,,,4000.0,,4000.0,10.168482764290378,1007.2632019744931
2022-08-02,ditchRD,ditchF,,,1700.0,,1700.0,4.321605174823411,1003.0868608391596
2022-08-02,ditchCD,ditchA,,,1200.0,,1200.0,3.0505448292871136,1002.178960592348
2022-09-08,ditchRD,ditchF,,,2500.0,,2500.0,6.3553017276814865,1004.5395012340582
