Z,2022-10-06 00:00:00,2022-12-01 00:00:00,2023-01-19 00:00:00,2023-02-08 00:00:00,2023-03-08 00:00:00
-3.91,97.15242230541361,125.82308646500375,119.98453759264045,433.451648295252,652.9748182924237
-3.88,95.95077369907573,96.24521001966362,109.69286644583079,396.75828799497026,546.0587940654269
-3.87,95.88464926346475,99.27534941520332,109.47109364047333,387.8511852856335,533.6272224157689
-3.86,97.27402494690861,132.92044720041034,121.40895824497036,437.8222371665546,664.5337809523986
-3.79,97.14805844990656,123.14047019018192,120.03466841293103,429.7464289790738,629.9562591690524
-3.77,97.25364365881784,129.19194848129987,121.2793209813377,432.4313852472401,640.1538930092997
-3.76,96.22585871824009,98.89841175789272,111.97058331229337,403.32312441840804,551.9196982450773
-3.75,95.92574683388888,95.36831056166761,109.73281573680944,391.03832751218033,526.4819741830994
-3.74,94.41941004927945,80.6250668740838,99.38873196650471,338.1375922439352,426.7185147119987
-3.73,95.67353791285274,99.58720059686992,108.38938148249792,370.85825500806993,496.9692064053147
-3.59,97.27718993124616,124.54113267236562,121.57388087291504,423.8500777849663,595.5148561928868
-3.57,97.33466089050668,128.51460847643,122.32890628079727,424.98966425136547,599.555354795241
-3.54,96.16423061935096,94.12390652007514,111.8306106214142,394.22277560587315,511.83527264343144
-3.53,96.59885303617494,100.76500959024051,115.25947241244357,406.055621174144,539.472718493436
-3.51,96.05512645971778,95.1803110068932,111.1213342738643,386.5780114427091,501.69449304699083
-3.5,95.84348748908684,93.18624484083382,109.50718672396191,377.474952272067,486.55591352373847
-3.49,93.94662231706546,77.20596373143309,96.89469695081351,313.80889690900744,380.5512538179577
-3.47,95.90827922969471,101.51951175607017,110.63175753468302,372.44413933820556,481.68429946259454
-3.43,96.03576683112676,91.64098160870886,110.99470541380839,386.12996455018026,490.31480742186915
-3.41,96.5647624703262,98.57588065954381,115.13804007566584,399.23831716897234,516.2393939538388
-3.4,96.944415511249,108.38446887736858,118.61550910236141,406.33518817220033,531.671079263038
-3.39,95.31823188554536,85.30444065104128,105.91908973134285,359.72755098634417,445.18457851742744
-3.38,97.31085390248147,124.42504789285346,122.37846025287583,417.5853544464489,563.4226456130016
-3.37,97.46559755889224,131.31819953241003,124.06747781983665,417.00861372992523,559.2866170097575
-3.36,95.30497580742356,88.75435536574533,105.96183959184135,349.6002810226899,431.7122273292327
-3.34,93.73636853506886,75.75872304308608,95.8356717237234,302.8963677636846,359.184780158317
-3.31,97.53330362737123,136.49910963592959,125.06993754570134,416.79837495315184,555.5094975617278
-3.24,96.17050815674253,90.68308814668558,112.23100822670125,379.2194995273408,466.9899663015938
-3.23,96.3517266595554,92.5673730189386,113.65463555632424,383.6427028088785,474.26210236202115
-3.2,96.99695840575217,105.75426176191232,119.17102134957787,398.20685858750613,502.6290340703527
-3.19,97.51290709787492,127.90835867501701,124.63829188705054,406.38195221988576,517.9962295877131
-3.18,95.09201488482917,82.27820491850778,104.76083245995537,341.45280794399525,405.50395281190856
-3.15,95.76019635867664,100.11941467857396,110.16984292520874,350.76199535871734,427.3929757860628
-3.14,95.94383205333702,93.00866359279524,110.84134636600342,358.59691641077194,434.38012738832657
-3.11,94.62173164371139,79.57776594434294,101.7665580486751,324.17752272354767,378.157379478899
-3.08,96.11194966117415,87.86639574484045,112.02408876385506,364.83525207489106,433.9781313165786
-3.06,97.06540498853114,110.35480891229932,120.47754769879299,389.4146505891377,478.4039001590309
-3.05,96.04152852981105,90.65096283323867,111.67961619736379,359.9059061998831,428.90247937372436
-3.02,97.02362164016508,100.06028356919263,119.28166671795778,388.0459496074217,469.95658121397366
-3.01,96.68489754073292,99.70661621068191,116.9841543500631,373.83222290209847,446.1310772041119
-2.99,97.66871682988774,141.38852060026682,127.14663248965188,399.45648353024944,493.8648297264407
-2.98,97.31145941534172,109.1152725225504,122.15967494165618,391.32449253039806,474.1973085393989
-2.96,95.0206964440353,87.19370241536978,104.84522001599046,319.2841496109331,367.210566609613
-2.93,94.35989822464046,77.55224854693769,100.45681985402469,306.9096408911674,347.42063608087966
-2.9,96.3792242202282,88.32758246153104,114.14096397636985,360.8272122605045,419.8600746845123
-2.89,97.64544964087897,133.0194172633491,126.70494169545402,389.21458365248924,464.7920191111893
-2.85,96.87170800798997,93.87357212679048,118.02176752172552,371.56466176320214,433.8785265125124
-2.84,95.84916588659192,87.94646979519116,110.61002312634363,341.8648206331008,391.9144622614898
-2.82,97.03455039370992,96.28373534306246,119.41888382751854,374.05842014481146,436.0732622664024
-2.81,97.51393607618728,115.37009686218796,124.63942787261983,381.7439652387,444.0948633933396
-2.79,95.95771182023167,83.70126841529915,111.22858703712016,342.58927328318924,387.72360317774115
-2.78,97.61272547232488,123.62118053916127,126.15898713257181,378.5717487349646,433.7238739950628
-2.77,97.71293626583225,140.61129523222812,128.0775309649044,378.47958995824007,434.0955814197766
-2.76,93.52860270859465,73.60464518326914,95.55985208577175,277.60677200622195,305.64762683724524
-2.75,95.52088236545845,86.14551967912264,108.24998727047809,322.86326508262204,362.1317829555075
-2.74,96.20391115485589,84.8470380779295,112.96041429361544,345.12158219194725,389.413686273564
-2.71,96.14509980022002,88.43974107996688,112.81570311103685,337.57580602300055,378.2443029951238
-2.7,97.73492004884659,143.16878602343647,128.64880577404142,368.71459602448977,409.65122722075097
-2.68,95.79651966633844,83.57990323295367,110.15546654075898,328.0643573035525,363.88190639505484
-2.66,96.53537122912914,99.43041776123167,116.79106447916418,341.9549757458174,377.84829173703713
-2.64,96.63788254184321,93.42416323211803,117.04149131108109,345.0221310995773,380.74903094658083
-2.62,97.3783450767773,103.44774705234649,123.09277742665562,362.93677989713507,402.2742330392456
-2.61,97.70739490723898,135.6567957813626,128.05306519021485,364.25732302922216,398.0630936503446
-2.58,95.24513107529873,82.8959329861071,106.3559583698849,303.73231123765817,330.40594078024026
-2.56,96.36981298967987,83.43327013885394,114.22842383565684,332.7583269443735,363.04643904868686
-2.55,93.83449099486225,73.99841336856963,97.91042028782238,273.05716550060333,292.10969250358966
-2.54,97.12684826906107,100.24164300583809,121.20701398930449,347.30325964947383,375.4575677881412
-2.53,94.16366528517152,74.98356325144982,99.99854002131569,279.2612133430561,298.09951803258815
-2.51,97.46868156426892,102.43041603190272,123.96460884796157,355.17579212725866,384.77826400477204
-2.5,97.66393113942796,125.99276213474128,127.44127705080496,353.8895004099456,374.23779126133326
-2.49,94.8630622525992,76.67074899111284,104.46356353994946,292.8473098811836,310.94532152807545
-2.48,97.03807034692913,88.65942440854309,119.21456201106382,342.2335971543687,368.45070963229335
-2.47,96.35195497999224,89.20055935998263,115.09507932568673,323.80668171202035,344.2835544236462
-2.45,97.19849881924296,90.65017464413359,120.59739244921032,342.88021575669,366.90554308523895
-2.42,96.74862226333823,92.74849685800815,118.36226980129017,327.430675067752,342.4775384762039
-2.41,97.69499956717452,132.90098361895204,128.28867620550704,341.6555150306561,347.0231739357533
-2.4,96.26039403039577,80.52281644904716,113.61560619422059,314.78756120729344,331.24075608454734
-2.39,93.24223226906497,71.7479447848301,94.59102506165561,251.40080528705954,263.17619953919547
-2.38,97.5003272552781,104.05051905542902,124.73697260311438,341.0285749207041,352.875710009953
-2.37,93.54538634937967,72.53856279887752,96.48578741436013,255.98304040682055,266.7458435571548
-2.36,97.69866149939423,135.48394473000894,128.51468795975126,334.18564039058543,332.9252006140076
-2.35,97.4555058147662,97.01501003502042,123.76744641395582,338.2748523768544,350.6670954348965
-2.34,95.50576025025929,78.42338481973303,108.45236081606984,291.6330705369408,302.96919288886346
-2.32,95.80441968421798,79.51592181817445,110.49630048717545,295.96376456437685,305.9121543471685
-2.29,97.63288246582115,122.74568911386129,127.55808979464487,329.6789085676428,324.1114104579898
-2.28,96.43056147338696,87.08701770678228,116.0589760650413,306.31038602950184,311.22459224794073
-2.25,97.05477044637388,95.6392423699513,121.03765643379522,315.27369918702266,314.3811163873022
-2.22,97.40573177989504,90.12854716979699,122.56016041654276,321.42566941395614,323.65658192036574
-2.21,92.92217571950006,70.48372693694593,93.07205587376117,234.44697522139296,240.80215783607184
-2.2,96.46098732853382,78.77691652638008,114.91866329943491,298.59160312637357,301.7231594302043
-2.18,95.13090433985984,75.7136373986891,105.99741172870105,268.5867395503643,271.1252554781018
-2.17,95.69510899032355,87.67617281651836,111.31055179228493,277.43191265999496,272.63802004383547
-2.16,97.5376085724497,109.29007084603842,126.06145319357151,311.905196789722,296.9651790504188
-2.14,97.54453471634316,114.65433156511799,126.93906965911562,309.62083584745454,288.5805513053127
-2.13,96.06036094949596,82.929239707778,113.59434018471916,281.8804538230206,277.06379396616467
-2.12,97.20546983830066,82.894547194924,119.88944634484203,302.28284000773846,299.3123565209943
-2.11,95.13304106663516,73.84338399218082,106.9219192259965,264.02054713506027,262.62776752852557
-2.09,97.3397872061969,84.36558680090016,121.06501621151368,301.69276188379854,295.43736552982733
-2.06,96.96331082892596,94.99426441255474,121.11700765898537,289.42903292729915,270.15280708012983
-2.04,96.32899136385186,75.86196167316007,114.13042191192254,276.92779406851685,270.15625415543616
-2.03,95.10135613071658,77.5177108856413,106.0242024097446,252.73417944692864,247.9497495997005
-2.02,95.99988142094647,93.75233333443987,114.01065868546452,264.50301787363276,245.72436597410265
-2.0,97.41534643838528,88.13539782864345,123.44463997046711,292.8209669182585,274.9528324117606
-1.99,96.66843184272005,77.88404849730236,118.23785472880861,281.7746132781329,267.776330006968
-1.98,93.77400130859616,71.14176621736763,100.41414888173813,233.31769718866673,226.89674901677824
-1.96,95.76368680773683,75.30326679105323,110.79103770229524,257.98162974156196,246.9780509239534
-1.95,97.49363344680171,109.19900986223855,126.51271132759032,282.4091818902421,243.26401214610615
-1.94,97.49352582663546,90.89355148417218,124.67251205314885,283.31392484708385,255.23181739645543
-1.92,95.63955585417358,72.29589960954014,108.60323776253914,248.6301617736678,238.09061864625417
-1.91,97.86925839594971,95.14739420952897,124.15145722521586,276.90097733146587,245.27332665611297
-1.9,97.02878824100189,81.60282494269438,117.69072532927932,264.6464778899045,243.03712164659774
-1.88,98.15811027695706,83.4268011426878,122.65752963030818,275.3164954871365,252.63461691302447
-1.86,95.3497541184193,71.88304718239787,102.48581544075387,227.34455069050634,219.7053095316647
-1.83,97.26495078256549,86.98876814892843,114.98130999903512,245.86485723465887,220.1576253970386
-1.82,96.62408776337396,77.30505253920253,109.79237426301192,236.2814478027936,220.35715634054458
-1.8,98.62533541542616,100.94623591281488,125.39066013786666,259.2318880226156,216.35404666258037
-1.79,98.66951929317207,85.75518693499146,123.7915434130281,259.9061520061816,228.17630570962376
-1.78,97.45897153183932,74.7685780240174,111.9028497458516,237.71863826418277,222.84493650455087
-1.76,96.6602884703581,71.31495213620939,107.33734828002504,226.39797820349193,214.35246653581981
-1.75,99.28268941411515,80.10273862145017,121.41820604877563,253.7723071429894,230.8688658484712
-1.72,98.73498618185103,86.87871516179302,120.35139526265466,241.91671950256884,207.83613038984876
-1.7,99.05316574715319,76.90717281530578,118.67068047942573,240.58005418378403,217.92902406028125
-1.68,97.7542040390668,86.95555557024329,111.44973800051058,219.19958703894923,190.8248662631114
-1.67,97.31030914913214,75.54320691772598,106.78254441602995,212.38284311045302,196.8771177541564
-1.64,96.15652615962024,70.61811962897343,99.84797004094949,195.8593456079521,187.98144717164183
-1.63,99.81673016386974,75.31369928668724,118.84314414344108,233.91855232502186,212.59884270974007
-1.62,96.77275381597765,70.60174176707244,102.8092730880215,200.37868131851715,190.19565504048276
-1.61,100.01113274296267,85.08142469263683,121.90459383014411,230.19856078328309,194.5403351764084
-1.6,99.75964183046867,81.48546823143573,122.6902716450045,229.35221440019365,193.91022487268023
-1.58,99.01583733148273,81.95244039650599,115.72964418755069,215.09444030336113,183.8767893478316
-1.57,100.20911933713035,80.32357171048315,121.92931844850777,224.62360359420757,192.14823588765452
-1.56,98.73336717023429,70.63574752268269,111.74419466020332,210.3802703577999,194.43256660253164
-1.54,100.68114520988604,79.53378142061635,121.59692953283428,222.43746470464185,194.19178835963032
-1.52,99.95263909323623,72.07165868094066,116.31687380118875,211.98965441963898,191.92884488161656
-1.51,95.29207787019719,69.67008663608893,90.65845778702693,169.96372073164986,167.11316229570716
-1.5,99.53062675204539,91.74667676448941,123.06507456087523,211.38132990574277,162.1891612538207
-1.49,98.28047393626643,74.18935256402052,106.76950549424267,190.02254835456404,173.16086003962758
-1.48,98.59281780793803,71.90136388111179,107.06378875094512,190.8911401840428,177.54114881936695
-1.47,100.29729356421491,85.38278213507077,121.92194877773808,205.5988671810114,161.47238353959844
-1.46,100.34760541886126,77.14568812414389,121.02048652600733,204.92157203519602,171.4633144089332
-1.44,97.89070526131668,69.85488546995344,104.20008097538954,183.3040751073891,172.1388940792005
-1.43,101.49062839401753,77.20469955467449,120.03973824476353,202.5617111462909,178.0512667457227
-1.42,100.01570761168679,73.68567497330176,113.47506733298351,193.40257930296815,174.13624644763675
-1.4,100.63955164914688,90.89532984097706,120.84568039209012,193.60858234829507,147.63831782433442
