Z,2022-07-06,2022-08-02,2022-08-17,2022-09-06,2022-10-06,2022-11-04,2022-12-01,2023-01-19,2023-02-08,2023-03-08,2023-04-16,2023-05-17,2023-06-07,2023-07-03,2023-08-02,2023-09-06,2023-10-04,2023-11-14,2023-12-13,2024-02-09,2024-03-19,2024-04-16,2024-05-14,2024-06-04,2024-08-07,2024-09-04,2024-10-09,2024-11-13
-4.7,466.0895583732557,363.5047514170537,359.2430769922359,825.8306807154842,854.3522943804109,1113.3330076628115,720.4411780050574,814.1712995490049,876.427158525742,845.2409183427625,911.6500230503617,806.6680428064959,697.9402567444191,611.5391228415806,734.3936574238655,724.0822024840577,704.6017674118295,906.0021409676192,957.7130298089431,1013.2170496848569,999.9844319090358,1038.7305097368,972.7508923668117,970.4969053983539,910.7579260614525,932.6990258611621,1038.7832761825491,672.7686890028863
-4.6,466.7651783219315,364.0267297223522,359.7350450667272,827.126412077678,855.6245717123671,1115.5511907755963,721.5008458575293,815.4022339061298,877.7568045347796,846.5182572867468,913.0703741381948,807.8854263854068,698.9667040081085,612.2622249801507,735.466411469628,725.0742725425845,705.8424592341786,907.4174626384773,959.2090589751975,1014.7778375632262,1001.539160373967,1040.351537096277,974.2621445539406,971.989258896616,912.1406028813468,934.1413463294082,1040.395027582563,673.4628722452113
-4.5,467.46443567256375,364.56563296508506,360.2287171375425,828.4291078038733,856.943546356367,1117.9115777093239,722.596459612151,816.70020429041,879.1701006236751,847.8612018654676,914.568706348093,809.1582959817847,700.0350115510676,612.934813006598,736.57990090987,726.23045687757,707.0170498671608,908.9267514109573,960.7872360101057,1016.4356542745858,1003.1924509768064,1042.0786133685137,975.8640437881191,973.5895735631422,913.6144443955704,935.6748373368032,1042.092747240875,674.0089643281248
-4.4,471.29959950766687,367.5107030448307,362.90342006221385,835.3191169738593,864.2560320467675,1130.8368390819776,728.6074566488581,823.8516436465388,887.0237237362957,855.2915870555912,922.8299104962074,816.1943996585477,705.8614789563931,616.404092276873,742.6535963594526,732.7108766202716,713.4913459332881,917.2642561761052,969.5224740627722,1025.645982783839,1012.3203426546439,1051.6439522831893,984.7217458756147,982.4996257843144,921.8282124054562,944.174841820743,1051.4926104987253,677.7048276734274
-4.3,472.31778770882494,368.2888148712487,363.5895861834212,837.0826264170554,866.2078918478236,1134.4047399564313,730.2068636694739,825.7766068742608,889.1572038207987,857.2937065434606,925.0747410539523,818.0870643631615,707.4070106263085,617.2518020859254,744.2577167989238,734.4481747054056,715.2650708259777,919.5415677417037,971.9025024827756,1028.1517790225755,1014.8028187805803,1054.2561738394631,987.137008114784,984.9337345940237,924.0672783931467,946.4927314559721,1054.0468354010195,678.7052855609394
-4.2,475.00874929830815,370.27264658115433,365.20383917208517,841.6572868832745,871.4665933085456,1146.1172351285581,734.4090242712085,830.9743356900319,895.0456654753685,862.7225931591474,931.405819484826,823.1820007677435,711.4258754294004,618.800269110049,748.4283285760525,739.0614531978656,719.8251649008631,926.0444138803143,978.6210134001576,1035.1971114096748,1021.7987070562771,1061.6611232104844,993.9647547928184,991.7737311341515,930.3454564265279,953.0102912304989,1061.1972552962359,680.113328437736
-4.1,479.7127109309116,373.772305150426,368.23126645218946,849.8073043052882,880.5256992798793,1163.9975932409764,741.714028266524,839.8001866775038,904.9456822203366,871.9428311031564,941.9570572264731,831.8432194546405,718.4394308699564,622.7480758178159,755.7332760319568,747.0826757372989,727.373121508512,936.7937823939127,989.717983448344,1046.9801697942414,1033.409311824992,1073.9435410428891,1005.3373696064864,1003.1453807322846,940.8529348863901,963.8528055614978,1073.061486263078,684.0641524225939
-4.0,482.0420386960559,375.4990237301792,369.74924413548587,854.0202378788921,884.9388256907505,1172.455999273338,745.2550603977887,844.0392680829083,909.7019855488336,876.397386602274,947.0055626630617,836.0132349106594,721.8593834463657,625.0124890190872,759.3151261040189,750.8312902275215,731.1174075091703,941.9339894167312,995.0299321780909,1052.6693379195012,1038.957176379121,1079.869762307317,1010.813453488485,1008.5965075757385,945.906729595048,969.0518950640025,1078.7231514322855,685.8413215314331
-3.9,494.3335967875083,384.6150525972623,377.8900388545803,876.2821081296049,908.0945413392811,1215.4990225159445,763.8597659985628,866.1613070174906,934.4314202938847,899.6089894507801,973.1976866860664,857.8076875112276,739.8592459463324,637.9021399079539,778.202536574514,770.3891350699488,750.5500758802299,968.6200426704249,1022.622299531414,1082.2093577838123,1067.7556911020192,1110.5963205805076,1039.1889530424717,1036.8867815175058,972.1756633302551,996.0816235357195,1108.14938402839,696.1624153008695
-3.8,498.01665420813447,387.33769907535765,380.33517383722017,883.0388329327077,915.0245568190398,1228.2498279256108,769.4108870041847,872.7405967786237,941.7913855121037,906.5123347546994,980.9886428394248,864.2992350536906,745.2298211761424,641.8344326400716,783.8542127317103,776.2677247916022,756.2341279206305,976.5643141038474,1030.8456431188342,1091.0187300261653,1076.322623853265,1119.7460639876087,1047.6237920245096,1045.3139630802218,979.9987991445388,1004.1382478648984,1116.9060974852446,699.2991306380808
-3.7,509.38674547671997,395.57300927693535,387.53087628036087,904.6443286410914,936.468394708037,1269.1119087651805,785.9976132134478,892.4855939326294,964.0885527536782,927.3430606798216,1004.673480934506,883.7559366501433,761.2944652422444,653.52832545791,801.0674169926933,794.2748468750856,773.267381463217,1000.900427818651,1056.1248510102853,1118.0525750309866,1102.4384199671765,1147.898791788294,1073.4612796245635,1071.1385138136463,1003.8919509444385,1028.7419518821132,1143.5821380745292,704.2830124678247
-3.6,522.8950270251469,405.29489773510204,395.99573164120784,930.8209283646988,961.8128710664041,1316.7181835094332,805.4014120413892,915.5560121535116,990.1130838846609,951.6487538297557,1032.368629346209,906.4262822554701,780.0921451862724,667.641344024717,821.3565179280363,814.8679150442241,792.8550960291524,1029.3974877028177,1085.8647581649243,1149.7502588339341,1132.9627739400132,1180.8826417099149,1103.7141212661375,1101.4177395908823,1031.8388908100214,1057.5516327141033,1174.861406170808,708.3169315907107
-3.5,527.3479783111094,408.45806412510007,398.6232284498594,940.0870019184043,969.9855642437284,1331.7771221710295,811.4256247170956,922.7357912038989,998.3624610709512,959.2831867663739,1041.151616102023,913.4686879399046,785.9174249254197,671.9281411824837,827.8162256257274,821.1625302423791,798.5973017352685,1038.4094933777303,1095.2884572605615,1159.8043651404182,1142.5465573535503,1191.3379505345397,1113.3178789555157,1111.031036635343,1040.7058997975555,1066.7272854630965,1184.6738494765548,705.5818270482933
-3.4,546.1754697658629,422.1209372217029,409.63219474559037,980.7971924484208,1003.6965306811212,1387.0442110594438,836.445567220819,952.5136624809223,1032.6608388120437,991.0386961117939,1077.7141428689213,942.5986856639577,810.0336606855087,689.6600820801361,854.5418028034838,846.3965069934874,821.7697111259555,1075.333876830971,1133.8922812707906,1200.9428688530938,1181.6729625365092,1233.9945021603003,1152.81082405183,1150.4221810691922,1077.2583233258101,1104.7254805387613,1224.9222781963722,683.4035774895951
-3.3,550.904292716336,425.6507006208168,412.35058545261217,991.5073648506055,1011.8965927805823,1398.238095711573,842.596531427973,959.8344277933379,1041.1285423888937,998.8661869911465,1086.7528133367791,949.7238401459613,815.9327237359432,693.963066602042,861.0592992596097,852.2691878776968,827.2449673780095,1084.260892022303,1143.196813486482,1210.8579346381073,1191.0698300777299,1244.2254116174156,1162.4023426560855,1159.9507650391472,1086.1752148995597,1114.0495584036062,1234.6515155858624,674.5302307827877
-3.2,543.4706605669321,427.2681290368597,407.4913165142693,990.225540081697,990.0285316322531,1243.6130709896556,834.4190922041789,950.1984607666246,1030.6734778534494,988.6176959784623,1075.4419170170697,938.5562832596369,805.965790753131,681.280919620509,843.6309267673801,833.0928013476367,806.9950164512371,1061.43624098271,1116.5699758021444,1182.0758228780178,1164.3540031351279,1211.915438978969,1138.647844450057,1136.1372809143343,1068.304066527652,1097.8130817784838,1210.3876312987811,531.3316113660794
